Sample,level,rate
10000000,1,0.42413309158011286
10000000,2,0.8940732684554968
10000000,3,1.5307356361680982
10000000,4,0.7405717471609274
10010000,1,0.4679208572685105
10010000,2,0.8648940516465705
10010000,3,1.6139124880529667
10010000,4,0.4148392953255983
10020000,1,0.4595371951209297
10020000,2,0.8467766496224911
10020000,3,1.5326442721931062
10020000,4,1.0252102615446357
10030000,1,0.4772615679161517
10030000,2,1.0188984583130227
10030000,3,1.3015860874031682
10030000,4,0.757132603293003
10040000,1,0.4590834333016698
10040000,2,0.9345467201409938
10040000,3,1.4620441690378156
10040000,4,0.6643361901482941
10050000,1,0.5558739400646427
10050000,2,1.0070444425577192
10050000,3,1.2145743499535877
10050000,4,1.0916804168648102
10060000,1,0.5156426081167497
10060000,2,0.9118425707509364
10060000,3,1.4559591627920183
10060000,4,0.7229185542816206
10070000,1,0.4024424680436457
10070000,2,0.9162882894846994
10070000,3,1.4114760355523677
10070000,4,1.2529108420971409
10080000,1,0.4015859728770103
10080000,2,0.9731932497586676
10080000,3,1.4636231761099192
10080000,4,0.4983407877202436
10090000,1,0.4605315510100364
10090000,2,0.9297428820646128
10090000,3,1.3277030153419829
10090000,4,1.4170309703529511
10100000,1,0.5484223540648223
10100000,2,1.0266096583136726
10100000,3,1.231838624106028
10100000,4,0.8566641812719983
10110000,1,0.6093879702064543
10110000,2,1.0035048129146615
10110000,3,1.3028716253234625
10110000,4,0.49447090980759856
10120000,1,0.7321466873854002
10120000,2,0.9541642865679372
10120000,3,1.293267005858845
10120000,4,0.6029320519318975
10130000,1,0.3238592522504332
10130000,2,1.0257390972014486
10130000,3,1.3519036708216834
10130000,4,0.8786202017750193
10140000,1,0.5548860356758913
10140000,2,0.97736856716829
10140000,3,1.2449385309224743
10140000,4,1.1823914573589676
10150000,1,0.5012984420207799
10150000,2,0.9122127758070192
10150000,3,1.4381147077888086
10150000,4,0.8568102395232045
10160000,1,0.42253980457442886
10160000,2,0.9136500154208328
10160000,3,1.4907662428405442
10160000,4,0.793617978382881
10170000,1,0.5327271232313008
10170000,2,1.0202881151333456
10170000,3,1.342610849814914
10170000,4,0.3648630558567985
10180000,1,0.6067128118338696
10180000,2,0.9526358511542342
10180000,3,1.3261022221905965
10180000,4,0.8065240332531884
10190000,1,0.5285212229882374
10190000,2,0.9174969424705042
10190000,3,1.4820102888336637
10190000,4,0.4988256267113184
10200000,1,0.5316799410575325
10200000,2,1.001691310764208
10200000,3,1.3322792391873817
10200000,4,0.5795423639840345
10210000,1,0.348730527416867
10210000,2,0.8991139824041449
10210000,3,1.561548570215726
10210000,4,0.7537342353153406
10220000,1,0.5039611833987596
10220000,2,0.9543201062986926
10220000,3,1.4200594513532088
10220000,4,0.5909352465224698
10230000,1,0.3987076670961832
10230000,2,1.046494315583416
10230000,3,1.2603254896039495
10230000,4,0.9740395369212776
10240000,1,0.5177262004446629
10240000,2,0.9651389440175826
10240000,3,1.3348034726085822
10240000,4,0.9144272826425104
10250000,1,0.5314544773240922
10250000,2,0.8640481888296896
10250000,3,1.5592316659763834
10250000,4,0.5282832999473369
10260000,1,0.8404523144130436
10260000,2,1.0392134511643276
10260000,3,1.0694417058238486
10260000,4,0.7649451046015446
10270000,1,0.613211221582068
10270000,2,1.0120006087611149
10270000,3,1.254892021178134
10270000,4,0.6677047003627415
10280000,1,0.48932741509429833
10280000,2,1.1157845507124804
10280000,3,1.1443868613563666
10280000,4,0.7448784769108372
10290000,1,0.4272006335552692
10290000,2,0.9933343720303924
10290000,3,1.4398377655391104
