group,n_lgs,mean,median,sd,HPDI_lower,HPDI_upper
Kra-Dai,102,5.017296622605964,4.7983231384659035,1.4053828903384764,2.733514698486655,7.9876642168996455
Kam-Tai,69,2.9063962615037515,2.7764073434469485,0.7262739508176818,1.666187284739161,4.333989233716145
Tai-Yay,53,1.8750119012497501,1.8284794414479828,0.32771930725606246,1.3142613231808336,2.5346428197264297
