group,n_lgs,mean,median,sd,HPDI_lower,HPDI_upper
Kra-Dai,101,5.10388060723254,4.894407807575,1.4552548400369385,2.598124365295,7.908452992499999
Kam-Tai,68,2.944031268257886,2.8275504378499994,0.7118716703405814,1.7899985123999995,4.360368966
Tai-Yay,52,1.9360057430753188,1.8874934463749995,0.3362117739046918,1.3279631405299992,2.58817780664
