group,age
Tai-Yay,2.3412704381157265
Kra-Dai,2.05744874657473
Kam-Tai,1.8738733112025066
Tai-Yay,1.014931958964718
Kra-Dai,1.7043572564287413
Kam-Tai,1.7043572564287413
Tai-Yay,1.0265795928880739
Kra-Dai,2.2087675635952717
Kam-Tai,1.6684149641573065
Tai-Yay,1.1712020115449617
Kra-Dai,2.5971275214313696
Kam-Tai,2.5971275214313696
Tai-Yay,1.0688013154274782
Kra-Dai,2.1470968778194126
Kam-Tai,2.1470968778194126
Tai-Yay,1.0290688647969002
Kra-Dai,3.413340183160552
Kam-Tai,3.413340183160552
Tai-Yay,1.1807468740995577
Kra-Dai,3.8630274801920925
Kam-Tai,3.8630274801920925
Tai-Yay,1.0894459983133924
Kra-Dai,3.3538504971445158
Kam-Tai,3.3538504971445158
Tai-Yay,1.219838681826678
Kra-Dai,2.674274740966992
Kam-Tai,2.431762968337675
Tai-Yay,1.3820430742477137
Kra-Dai,2.9919071874747614
Kam-Tai,1.4317596884479336
Tai-Yay,1.142349076671774
Kra-Dai,2.5729447172573705
Kam-Tai,2.0109054866254765
Tai-Yay,1.15692756002776
Kra-Dai,2.7717897554742943
Kam-Tai,1.9611380966632823
Tai-Yay,1.071179793802753
Kra-Dai,5.7433957732196586
Kam-Tai,2.4238826166954737
Tai-Yay,1.2288367392469661
Kra-Dai,3.966629917598984
Kam-Tai,2.9690590004204593
Tai-Yay,1.3819337357906467
Kra-Dai,4.344730846163561
Kam-Tai,2.167098497256404
Tai-Yay,1.0906475084005178
Kra-Dai,4.855950428753026
Kam-Tai,4.299467842603369
Tai-Yay,1.7846390013831925
Kra-Dai,5.526901148937213
Kam-Tai,3.9298594704371475
Tai-Yay,1.8123006146791325
Kra-Dai,3.507515032364585
Kam-Tai,2.6880507878978857
Tai-Yay,1.1816191127044195
Kra-Dai,3.0969990279421307
Kam-Tai,2.2520950286022114
Tai-Yay,1.1665866541866319
Kra-Dai,3.5044727229949837
Kam-Tai,1.9857384214369538
Tai-Yay,1.0365807664261686
Kra-Dai,2.700707025023956
Kam-Tai,2.0777124619938894
Tai-Yay,1.128856529709046
Kra-Dai,3.6576003533614414
Kam-Tai,2.2381445782478298
Tai-Yay,1.1933866159176456
Kra-Dai,3.6206930948571037
Kam-Tai,2.975616275598762
Tai-Yay,1.0282221189678973
Kra-Dai,3.633394114458714
Kam-Tai,2.9053309002110836
Tai-Yay,1.1028858541097626
Kra-Dai,3.5580401843468246
Kam-Tai,3.257889411771304
Tai-Yay,1.1779542752645766
Kra-Dai,3.951493038773358
Kam-Tai,3.951493038773358
Tai-Yay,1.0425723675093836
Kra-Dai,3.590005365140408
Kam-Tai,3.590005365140408
Tai-Yay,1.1001259188352397
Kra-Dai,3.9874427015114757
Kam-Tai,3.2133844369049402
Tai-Yay,1.1762046934431898
Kra-Dai,2.604391449144528
Kam-Tai,2.604391449144528
Tai-Yay,1.0991924712567156
Kra-Dai,2.561307996755818
Kam-Tai,2.561307996755818
Tai-Yay,1.0270667758985597
Kra-Dai,2.6411272727788506
Kam-Tai,2.2661701767248257
Tai-Yay,1.2057709777900647
Kra-Dai,3.0537831173141976
Kam-Tai,2.887901754095105
Tai-Yay,1.5436533091313456
Kra-Dai,3.4510551645809766
Kam-Tai,2.8334800264735827
Tai-Yay,1.3375252870105339
Kra-Dai,3.8715097673045764
Kam-Tai,3.247319137144986
Tai-Yay,1.8711451688266094
Kra-Dai,4.352593667134118
Kam-Tai,2.8572064385531872
Tai-Yay,1.394977402934921
Kra-Dai,4.272749220660641
Kam-Tai,2.288453483895227
Tai-Yay,1.508975813636992
Kra-Dai,3.0009276120199746
Kam-Tai,2.3206745287771775
Tai-Yay,1.4941962888755098
Kra-Dai,2.9315108497777995
Kam-Tai,2.440700505632584
Tai-Yay,1.4872591909168773
