group,age
Kra-Dai,5.00874719439
Kam-Tai,2.4429683049899995
Tai-Yay,1.4749352568899994
Kra-Dai,3.773453113480999
Kam-Tai,1.8916387666199994
Tai-Yay,1.7258122486199996
Kra-Dai,4.0833060169
Kam-Tai,2.1047772719999998
Tai-Yay,1.8707864527999996
Kra-Dai,4.2978632533
Kam-Tai,2.4465785868
Tai-Yay,1.9990985023999999
Kra-Dai,5.720257011299999
Kam-Tai,3.5321310416999996
Tai-Yay,2.1465369937
Kra-Dai,4.708958427740001
Kam-Tai,2.7783376303400007
Tai-Yay,2.160220774540001
Kra-Dai,4.6689108071000005
Kam-Tai,2.5666415193000005
Tai-Yay,1.5633491893000002
Kra-Dai,5.908566338546
Kam-Tai,2.527727001146
Tai-Yay,1.9017772467459997
Kra-Dai,8.8314464551
Kam-Tai,4.2362695041
Tai-Yay,2.1433877041000002
Kra-Dai,6.956602041389999
Kam-Tai,4.419966639889999
Tai-Yay,2.7251879168899986
Kra-Dai,5.5233093719
Kam-Tai,2.9293693848999998
Tai-Yay,2.3574666657999996
Kra-Dai,6.0401986871
Kam-Tai,2.9419020211
Tai-Yay,2.6442271644
Kra-Dai,4.569511995399999
Kam-Tai,2.9139673136999993
Tai-Yay,2.4927142907999995
Kra-Dai,4.463625565700001
Kam-Tai,2.5742504691000008
Tai-Yay,2.216267692400001
Kra-Dai,4.597589155300001
Kam-Tai,2.6982171007000004
Tai-Yay,2.0526580313000005
Kra-Dai,3.621306462023
Kam-Tai,1.907817334023
Tai-Yay,1.549744038423
Kra-Dai,4.90084935577
Kam-Tai,2.86006232237
Tai-Yay,1.7454201563699998
Kra-Dai,8.8648855253
Kam-Tai,3.1910550958000004
Tai-Yay,2.3159421956
Kra-Dai,10.054949281399999
Kam-Tai,4.763428950399999
Tai-Yay,2.912044976399999
Kra-Dai,6.54924511081
Kam-Tai,5.07731601631
Tai-Yay,2.3842530563100004
Kra-Dai,6.8421216421
Kam-Tai,4.251110096000001
Tai-Yay,2.2548091590000006
Kra-Dai,4.7469617472
Kam-Tai,2.8655425931100003
Tai-Yay,2.04663010931
Kra-Dai,4.5457475263000005
Kam-Tai,2.2399656886000003
Tai-Yay,1.6809650739000004
Kra-Dai,3.7643729224999993
Kam-Tai,2.4155228180999995
Tai-Yay,1.8065506620999991
Kra-Dai,3.5682546983600005
Kam-Tai,2.3593383544600006
Tai-Yay,1.8994480974600005
Kra-Dai,3.0645539483400004
Kam-Tai,2.0724336831400003
Tai-Yay,1.6926770952400003
Kra-Dai,3.4447624729
Kam-Tai,2.5341681577
Tai-Yay,1.7917842135
Kra-Dai,3.2547219362
Kam-Tai,2.5636266752
Tai-Yay,1.9358251723000002
Kra-Dai,6.4817192566
Kam-Tai,4.1282452085
Tai-Yay,2.5430540315
Kra-Dai,4.558096375200001
Kam-Tai,3.9471752747000006
Tai-Yay,2.4825382757000005
Kra-Dai,3.76449257705
Kam-Tai,2.7086189903499998
Tai-Yay,2.04899733485
Kra-Dai,3.4677128635
Kam-Tai,2.1964756164
Tai-Yay,1.7142221557
Kra-Dai,3.6762512274
Kam-Tai,2.5434279072
Tai-Yay,1.8553758010999999
Kra-Dai,3.1783600899
Kam-Tai,2.0812895631
Tai-Yay,1.6580074397
Kra-Dai,3.2434360524100008
Kam-Tai,2.098219447410001
Tai-Yay,1.5843072779100007
Kra-Dai,4.748832457000001
Kam-Tai,2.669069091200001
Tai-Yay,2.154479556600001
Kra-Dai,3.6460130331
Kam-Tai,2.5407639902000003
Tai-Yay,1.9282039015
Kra-Dai,4.9085597092
Kam-Tai,3.0751042438000002
Tai-Yay,2.1129838393000004
Kra-Dai,3.24653694994
Kam-Tai,2.58692547134
