group,n_lgs,mean,median,sd,HPDI_lower,HPDI_upper
Kra-Dai,102,5.021380441026553,4.551528813647082,2.261891132426467,1.6777031972180592,9.559471058350681
Kam-Tai,69,3.455056108598513,3.1553808836746624,1.5093935673985321,1.1040814936115428,6.323780466129078
Tai-Yay,53,1.719668613932533,1.6432679622033373,0.45770248565815397,1.0047782574113227,2.568899223225133
