pos,n,mean,median,sd,HPDI_lower,HPDI_upper
adjective,147,1.1447572849051915,1.14479282376847,0.06433857374125297,1.0205264349328138,1.272496626311141
noun,319,0.8464846090641467,0.8472197660130653,0.03352312810180166,0.7795206328281051,0.911309036810329
other,49,1.1539974292908595,1.1410034363372807,0.12597058914393894,0.9252951351473806,1.4141688654719657
verb,138,1.1481128037626265,1.1463219541089926,0.07207756304479758,1.0091638523521893,1.293565362218328
