k,p
2.0054331570881008,0.001
1.6363567787835414,0.001
2.8453837483649327,0.001
1.9216237434007268,0.001
1.3889501421062878,0.001
1.355557147674023,0.001
1.700098315332626,0.001
1.6066883434553796,0.001
1.8880128854686433,0.001
2.6117863861482573,0.001
2.933345916927935,0.001
2.181774144837836,0.001
3.0321034305042613,0.001
1.14628171416058,0.001
2.1602405605322867,0.001
2.0522549360495397,0.001
2.2206961421378493,0.001
2.1662765275317786,0.001
1.6764794018928375,0.001
1.9436797626065931,0.002
2.1666575871262737,0.001
2.2799116339283,0.001
2.5602490492981955,0.001
2.2931018408617327,0.002
2.5045706026283496,0.001
1.8827939300804695,0.002
2.6532000165186496,0.001
2.7252162639940347,0.001
1.9253067387588223,0.001
2.5672921652052354,0.001
3.2882582780084086,0.001
2.6269967455030447,0.001
1.7391873897684251,0.001
1.9272872500363016,0.001
1.564214841994131,0.001
1.9725599669433969,0.001
2.2953635063621696,0.001
2.952231930219761,0.001
1.7811906265845252,0.001
2.093238895275726,0.001
1.88330115977352,0.001
1.9322129268803305,0.003
1.9655992802129036,0.002
2.276450182593523,0.001
1.6884969371069511,0.001
1.3312940440648462,0.001
1.9786554666922487,0.001
2.529124286466556,0.001
3.692517533805851,0.001
2.260156577405201,0.001
3.267395457956709,0.001
2.4893141228180866,0.001
1.799519610864328,0.001
2.399569731735488,0.001
1.788690740507854,0.001
4.23732970047145,0.001
2.031559218882662,0.001
1.8035218896430856,0.002
1.5132653302294492,0.001
1.1136804941775775,0.002
1.6654312478840423,0.001
2.1114934132031284,0.001
2.364363869170612,0.001
3.1705960876284585,0.001
3.0486213830398037,0.001
1.8821487001039698,0.001
2.117701468346107,0.001
1.6586347686460092,0.001
1.6919687994323998,0.001
2.3990316126210063,0.001
1.7897608568276453,0.001
2.7885070392170688,0.001
2.5954871677034044,0.001
1.9597978016430142,0.002
1.0771687416747935,0.002
2.7731861028083107,0.001
2.8779312372442214,0.001
1.6473904033475746,0.001
2.260357910122095,0.001
2.1908871653907442,0.001
2.0919370558039234,0.001
1.8830413206431684,0.001
2.9661884027626253,0.001
1.9871120773380049,0.001
1.910766955487228,0.001
1.9506920107524721,0.001
1.9009233460086097,0.001
1.9955730245708097,0.001
1.8377126145188258,0.001
2.514301993991747,0.001
2.568188754692069,0.001
2.493494881323206,0.001
2.511159852044655,0.001
2.300093741122084,0.001
1.8259332139354516,0.001
2.5194331210141985,0.001
1.6481788825322379,0.001
1.3897790989516483,0.001
1.954531712551754,0.001
2.39042378251595,0.002
2.9821987498804545,0.001
2.1207041053953652,0.001
2.3556022386903215,0.001
2.077784763431949,0.001
2.1075005666128215,0.001
1.5463559115897925,0.002
2.3628349664488244,0.001
1.9927066228040722,0.002
2.0205319348637696,0.001
1.783328065909459,0.001
1.5920439805881923,0.001
1.946479108603509,0.001
2.349727604407228,0.001
1.763621559680009,0.002
1.9252448784156548,0.001
2.0470484264734687,0.001
1.4952081436624456,0.001
1.5176335121852802,0.001
1.9728786810905212,0.001
2.1494880531856593,0.001
2.809989362981605,0.001
2.262832324341417,0.001
2.145450087884285,0.001
1.9665930678580292,0.001
1.6097266100511,0.002
2.540917113241413,0.001
1.738387956875919,0.001
1.734439127361459,0.001
1.6664920318056413,0.001
2.124482020707674,0.002
2.0167901781372515,0.001
3.1938056451513797,0.001
2.2063933923297525,0.001
2.38621834422011,0.001
1.784162186440856,0.001
1.1115416065292596,0.002
1.8672247529574841,0.001
2.098241589763195,0.001
1.2038648525544315,0.001
1.4787967764451906,0.001
2.2332505899995887,0.001
2.295210403366759,0.001
3.5616355028558253,0.001
1.9639243010832559,0.001
1.553156879863074,0.002
1.5829887865368715,0.001
2.293923742333333,0.001
1.8241994973436428,0.001
2.032211685962296,0.002
2.8895310372396197,0.001
1.9662461111842673,0.001
1.7611223156952136,0.001
2.6524623351914873,0.001
2.664842589227028,0.001
2.373515681004563,0.001
2.7976495614811423,0.001
1.107604115829136,0.001
1.411919541423733,0.002
1.813485348019116,0.002
2.290394308461258,0.001
2.8544705054900863,0.001
2.5297023996757457,0.002
2.156540069324235,0.001
2.889734738459446,0.001
2.336105830739042,0.001
1.296565192086337,0.001
3.201182997672748,0.001
1.757466605285275,0.002
3.330354611405782,0.001
1.8699027970041247,0.001
2.817550687465675,0.001
1.628579541969339,0.001
2.30018297445248,0.002
2.810360002985152,0.001
1.3000589102279216,0.002
3.009329325226301,0.002
3.329548362973952,0.001
2.6675794150006897,0.002
1.6069302418041687,0.001
2.4482110794829213,0.001
2.4460570226680414,0.001
1.912511844250581,0.001
2.334232205356087,0.002
1.9469460800968539,0.002
2.24967116445954,0.001
2.360022551086784,0.001
2.2680628157772125,0.002
1.3152414559217187,0.001
2.409377942060974,0.001
2.3100592211760014,0.001
2.1484174817673813,0.001
2.244956418988848,0.002
1.8412166046176077,0.001
2.597639338923511,0.001
1.3324556902385292,0.001
2.3676889390115603,0.001
2.7400430076570284,0.001
3.0647900927277267,0.001
2.4216084690568227,0.001
1.8616057059598718,0.001
2.2675772485412176,0.001
2.1418544694879182,0.002
2.563394529923234,0.001
1.3829472159001206,0.001
2.216223622361119,0.002
2.5418167458600056,0.001
2.430830415754075,0.001
3.3268329251195614,0.001
2.7378878549984402,0.001
2.844048985006939,0.001
1.9364586029157735,0.001
1.634890160463165,0.001
1.701889181374646,0.001
2.537416488273616,0.001
2.486675134664343,0.003
0.9531674285147748,0.001
1.8538616390240266,0.001
1.3640726495087194,0.001
2.5375415239486783,0.001
1.1281490342937315,0.001
1.6832271929072493,0.001
1.4774391458612228,0.002
2.6604194612721312,0.001
2.6619824997280395,0.001
2.7072976966313123,0.001
3.4302465087240317,0.001
3.7650857338526103,0.001
1.777400440637272,0.001
2.065833220679324,0.001
1.5892645017861702,0.001
2.197646805370115,0.001
2.3763563121740083,0.001
3.074077112624061,0.002
1.702261496821168,0.001
2.1279577161597225,0.001
1.7159877576810818,0.002
2.1599445996236453,0.001
2.0530543628055646,0.002
2.0485159620151294,0.001
2.0315316197151643,0.001
2.20113761289901,0.001
1.4094766665320315,0.002
2.3247597828085818,0.001
1.8864257229871344,0.001
2.3219405870655634,0.001
2.1026069500511713,0.001
2.5558890776729988,0.002
2.2230439551242314,0.001
2.508434529589494,0.001
3.1793104787430493,0.001
2.4372537558598277,0.001
2.7340608010612684,0.001
2.438840829180955,0.001
2.5377829704088835,0.001
1.9618263920633099,0.001
3.521775551817285,0.001
3.5800337653661236,0.001
2.5258251050733613,0.001
2.4159891945959444,0.001
2.2313653300427307,0.001
2.4343516901769777,0.001
3.403598354425625,0.001
1.945279407292154,0.001
1.818684374006732,0.001
3.1827863070310025,0.001
2.1419250646018684,0.001
2.335499270248271,0.001
2.540699623721832,0.001
1.2986374297943335,0.001
2.2369488591883857,0.001
2.529803026455553,0.001
2.3704707934184195,0.001
1.304974587633568,0.001
2.4055666659085615,0.001
2.0119567397943108,0.001
2.238672631160678,0.001
1.7151436065664856,0.001
2.0170102718404115,0.001
2.1448869561044077,0.001
2.1648648645259914,0.001
1.8531590913289826,0.001
1.9803832170757139,0.001
1.9785617325804294,0.001
1.5450440003954946,0.001
1.7441328459814471,0.001
2.225165353018991,0.001
1.7599563357402022,0.003
2.6680854823724696,0.001
3.293046056362042,0.001
3.215163576564735,0.001
2.1203242273383176,0.002
1.8861077252504963,0.001
2.1604615637665137,0.001
2.6260110971431074,0.001
2.4119178723361734,0.001
1.4878000949268617,0.001
1.6415810886402757,0.001
2.30888523883551,0.001
2.631654859319628,0.001
2.612501421398909,0.001
2.8237247381006245,0.001
2.421004106322551,0.001
2.3693528828722292,0.001
2.108354715096042,0.001
1.947159294870127,0.001
1.7155993245472003,0.001
2.4090359149970273,0.001
1.7051573574923866,0.001
2.910658036106852,0.001
2.720260658537258,0.001
2.508002985033626,0.001
2.6883659681892196,0.002
2.735020903603964,0.001
2.5305414845276015,0.001
2.2082674535054854,0.001
2.003218097608719,0.001
2.103821951640292,0.001
3.6011265493270415,0.001
2.119666642685303,0.002
2.0266041050524857,0.002
2.564818865876653,0.001
3.0323200625364684,0.001
2.4915497857889557,0.001
2.461309680150094,0.001
1.981959456828567,0.002
3.3278604159525127,0.001
1.7267068821979474,0.003
1.7440893890045772,0.001
1.765351600465278,0.001
2.7691232023067607,0.001
0.6984037337980664,0.001
1.536354059597993,0.001
2.299256913843185,0.001
3.4727931306442437,0.001
0.7899291611754784,0.002
1.446932158793435,0.001
0.9842983945044699,0.001
1.970163284746794,0.001
3.016787134451009,0.002
2.104474453622373,0.001
1.9093546308119318,0.001
2.4941357585045814,0.001
2.477345791244154,0.001
1.545511376720114,0.001
2.4031957259042662,0.003
1.9766734307081948,0.001
1.2243995558509646,0.001
2.519960554193438,0.001
2.746292163523472,0.001
2.2798268603627907,0.001
2.179400387901254,0.001
2.666784191977669,0.002
2.232897608485411,0.001
2.199735919597647,0.001
2.889044699285773,0.001
2.3892526186702283,0.002
2.016417002769644,0.001
0.779769223459712,0.001
2.0819177679181875,0.001
2.290314729249679,0.002
1.2998641477771629,0.001
2.3041519977140825,0.001
2.060971774835294,0.001
2.6034548080357665,0.001
1.8010262995076176,0.001
2.7944430322145015,0.001
3.0677480102965076,0.002
2.3711524885744804,0.002
1.5903993689136882,0.001
2.2142267386780174,0.001
2.188536964159994,0.001
2.418267795257304,0.001
1.6541711768912168,0.001
2.1377705290005347,0.001
2.0253365656977422,0.001
1.953316460455693,0.001
1.8558354235225918,0.001
1.8839388669581796,0.001
1.6048927516720002,0.001
2.5398374900724674,0.001
2.528330407808614,0.001
2.339713777102656,0.001
2.613293438260471,0.002
1.8704094682477896,0.001
1.6484318098122908,0.001
2.6317681618079023,0.001
1.1698868822240835,0.001
2.9144133006867325,0.001
1.5894032354290173,0.002
2.2192342902311064,0.002
1.8623200884320605,0.001
2.038892679041735,0.001
2.310023177809377,0.001
2.3788278599955524,0.001
2.08542869083859,0.001
2.3525012567936776,0.001
2.2498622909165857,0.001
1.7685105623840809,0.001
1.6765673306631375,0.001
2.867482065602658,0.001
1.6238084573506486,0.001
1.0220714062306677,0.002
2.362822596437154,0.001
3.9902291410168798,0.001
2.7053591687590948,0.001
1.6064891120671616,0.001
1.9549738098015896,0.001
1.2251342442847224,0.001
1.2435950319197426,0.001
2.4865282855386206,0.001
1.4351090913781817,0.001
2.4006008077855014,0.001
1.9374599220502489,0.001
2.5748831395806655,0.001
1.8290412692472673,0.001
1.7937759820994987,0.001
2.8861713137558245,0.001
2.3288000336111327,0.001
2.098582227765614,0.001
2.6045057234374007,0.001
1.6228649368230121,0.001
2.0276611278695342,0.002
1.9402185190856045,0.002
3.0381726140033005,0.001
2.405359716322474,0.002
2.0710226296773686,0.002
1.8700767694217364,0.001
2.526520330029555,0.001
2.033199132091483,0.001
1.6945436144289272,0.002
1.4057721421040614,0.001
2.2509229759845777,0.001
2.3085348567587225,0.001
2.5875646165087107,0.001
1.6251501311121808,0.002
2.840763361141095,0.001
2.3963402821444033,0.001
2.1999285774833015,0.001
1.7695684471215478,0.001
2.6242243042594007,0.001
2.4357018888566446,0.001
2.28277991918028,0.002
1.2388707672246095,0.001
2.2845582773917426,0.001
2.420540048437176,0.001
1.667436482691884,0.001
2.1188501220389058,0.001
3.0885999167033598,0.001
2.782956579989975,0.001
2.7967123697611496,0.001
1.91386616604428,0.001
2.4806434744833137,0.001
2.0624506281869293,0.001
1.9648326812983137,0.001
2.2066271373782507,0.001
2.699052360020764,0.001
2.345717166025716,0.003
1.4475996155827702,0.002
2.3232501026413344,0.001
2.5024193466153455,0.001
3.0645402309335243,0.001
2.6444687087317447,0.001
2.4761372425449593,0.001
1.671325498429019,0.001
2.264444856733068,0.001
3.081904483862176,0.001
2.1044015315712596,0.001
2.3581339060197624,0.001
2.868615530641834,0.001
2.158433575675888,0.001
1.3101164602916961,0.001
1.9545945824188162,0.001
3.510379815493138,0.001
1.925487756294115,0.001
1.9205415975350015,0.001
1.2521642434193936,0.001
1.962075439523828,0.001
1.5821362476059435,0.001
2.1884354097971714,0.001
3.3199278776448495,0.001
2.9728749834513892,0.001
3.6257284712154236,0.001
2.2305905713003513,0.002
2.925670479918039,0.001
1.5880894301427748,0.001
1.3252648565640228,0.001
1.3613045692666061,0.002
2.365836521039635,0.001
2.235104277038205,0.001
1.8524923772184876,0.002
3.0737695413481667,0.001
1.9251585364619386,0.001
2.320587133423122,0.001
2.2296276657280294,0.002
2.836576534282162,0.001
2.506826914808433,0.001
2.280874833614487,0.001
0.7968978365569344,0.002
1.4908860656703027,0.001
2.125721087425266,0.001
1.7673689520482447,0.001
2.3569960415134603,0.001
2.865274008033165,0.001
1.8049008677188518,0.001
1.1543467491154433,0.002
1.7645455824087246,0.001
2.5139354827491003,0.001
1.9062789009426335,0.001
2.870302725483355,0.001
2.3282342917904795,0.002
2.42371372731123,0.001
3.24693744107106,0.001
3.9426090588384692,0.001
1.4997963929702993,0.001
2.947660814563379,0.001
1.8502213670839072,0.001
2.275979897727659,0.001
1.8691499306682293,0.002
2.771706701361926,0.001
2.122954789831594,0.001
2.7223436940185435,0.001
1.9539927800526693,0.001
1.115391741555867,0.001
2.475755787872046,0.001
0.9524327421174016,0.001
2.0933146082810494,0.001
2.2033150643033608,0.001
1.3512411700709102,0.001
2.8290307377265553,0.001
2.5558550772251114,0.001
2.5238454435268767,0.001
2.2308093407855014,0.001
1.8208795271242078,0.001
1.1237494034704472,0.001
2.877696499704253,0.001
2.4344886492410645,0.001
2.2381148162444533,0.001
1.487492700825593,0.001
2.3557858077804137,0.001
2.2400531898498537,0.001
2.745716126233611,0.001
2.6725118129581795,0.001
2.7424270508112087,0.001
2.0225018998745545,0.001
1.0568313474533853,0.001
2.5289533166026197,0.001
2.188626593809039,0.001
2.6550877105115283,0.001
2.9177431267979714,0.001
1.3262060709344885,0.002
1.8568377962834834,0.001
2.338603430018485,0.001
1.6719719263384414,0.001
1.4652953264257749,0.002
1.4616648491496245,0.001
2.520085334428811,0.001
2.9545866183977165,0.001
1.8904314881662492,0.001
2.403102644111651,0.002
2.74039136558636,0.001
2.0436627447772766,0.001
1.589206856938299,0.001
2.4612003331042245,0.001
1.6613533594241108,0.001
1.6151906309671562,0.002
1.9024213239058467,0.001
1.3094062165406712,0.002
1.6112922725689107,0.001
2.2931822786286626,0.001
1.7027428919514078,0.001
2.491585438069983,0.001
1.0445136250530294,0.001
1.4488921506326395,0.001
2.7645656520629474,0.001
1.5991460803086301,0.002
1.7646225631423866,0.001
1.248279985507269,0.001
2.173661264641148,0.001
2.1171084939842912,0.001
2.0654177735115415,0.001
1.622616500632316,0.001
2.1868649303394356,0.001
1.6118626338958753,0.001
1.5952873470045468,0.001
2.005122236144729,0.001
1.8121971674356532,0.001
1.1787953252433632,0.001
1.9696926735482925,0.001
1.8394342989328436,0.001
2.3741408366721033,0.002
1.5588293701672307,0.001
2.3437783179848233,0.001
2.013468229752908,0.002
2.7155966564599345,0.001
1.8499242260527304,0.001
1.3687489170610638,0.001
2.614749783912216,0.001
2.3527745124764183,0.001
3.3129956397728577,0.001
3.2279101043256153,0.002
2.0633461023648536,0.001
0.8151878764814352,0.001
1.412954417965903,0.001
2.676829935228557,0.001
1.8534697782457283,0.001
2.67414484965866,0.001
2.6000446632431604,0.001
1.9313184711196028,0.002
2.588169320410698,0.001
2.149921840984852,0.001
2.303269331441027,0.001
1.6905114922990452,0.001
1.7224031339384647,0.001
1.782481368880778,0.001
2.342554260829333,0.001
2.370015105468948,0.001
2.51600532455235,0.001
2.7776272780831732,0.001
2.0521904921591334,0.001
1.13416426927885,0.001
1.8933160612226025,0.002
2.58808006301985,0.001
1.6068221303793107,0.001
2.183347438430134,0.002
2.0872623474437932,0.001
2.178423061383379,0.001
2.7241257307346727,0.001
2.0366605257644097,0.001
1.9618178253281595,0.001
2.2163804792136954,0.001
1.4528994295454956,0.001
2.4799939220893035,0.001
1.8933171598841654,0.001
3.4190538261825036,0.001
1.0269926362549753,0.001
0.9439823949186242,0.001
2.01688696056568,0.001
2.375682964313549,0.001
2.4585594750947144,0.001
2.9555860035402173,0.001
1.8969167401651486,0.002
2.472953205191777,0.001
2.213404082485598,0.001
1.4854902329327577,0.001
2.522398352392001,0.001
2.2683981556934323,0.001
2.7654049924420767,0.001
3.0296428040110768,0.001
2.6693680786272482,0.001
2.9493146489518143,0.001
2.828009463991451,0.001
1.0950935333665475,0.002
2.8256279199336594,0.001
1.9911156565036274,0.001
2.217491768180896,0.001
3.38632991143526,0.001
2.297399568728715,0.001
2.3718537076934236,0.001
1.4527803215419008,0.001
3.155802415933183,0.001
2.4107231196103407,0.001
2.5547548292857334,0.001
2.216407073575296,0.001
2.9608481111273495,0.001
2.11555811247903,0.001
2.672360868757738,0.001
1.0662258458408465,0.002
1.409285148854698,0.001
1.0478278358438988,0.002
2.2150838371585873,0.001
2.585851229662963,0.001
1.9928459538564318,0.001
2.0867306325029147,0.001
2.190137455227988,0.001
1.5198694133424837,0.001
1.9496649288927246,0.002
1.936386538319274,0.001
1.940877164285694,0.001
2.2288014566033345,0.001
1.361750331368033,0.002
2.5912800240138907,0.001
2.697284309665164,0.001
1.79957819460688,0.002
2.5398117675773197,0.001
3.1813323677746608,0.001
1.2834255600541493,0.001
1.7831199645711768,0.001
2.0194524344177647,0.001
2.912769344410342,0.001
2.104596291088768,0.001
2.5498927161051297,0.001
1.6993485936195791,0.001
2.09899250444353,0.001
2.249862708511514,0.001
2.515636321013151,0.001
1.70382980259715,0.001
1.7525020098073176,0.001
2.7809544674583737,0.001
1.7567242046107039,0.001
2.3332869272313252,0.002
2.4779468349191465,0.001
1.4881782282563798,0.001
1.404881975155022,0.001
1.985396905782283,0.001
2.328974860389032,0.001
2.5124899254918165,0.001
1.4161236092857488,0.001
2.2846830875805,0.001
2.05249825378307,0.001
2.712699030447859,0.001
3.4339801990345586,0.001
3.273402035195017,0.001
1.3230331252612637,0.001
3.220956761008321,0.001
2.8805696393063367,0.001
1.944235722411282,0.001
2.294259407232619,0.002
2.228534219749186,0.001
2.6791442654067805,0.002
2.48926498817592,0.001
2.154231290101764,0.001
1.207631243986447,0.001
2.790240479749504,0.001
2.5116581866630576,0.001
2.4003013527613932,0.001
2.3246243044617247,0.001
2.491179683846009,0.001
2.139743234411772,0.001
1.2399243061605842,0.001
1.6672707900780508,0.002
2.7731040334241146,0.001
1.8187978986689812,0.002
2.396023176596634,0.001
1.0869129318244124,0.002
2.6464360153176543,0.001
1.9512589778127019,0.002
2.781672598731119,0.001
3.160941850526887,0.001
3.3322087005092644,0.001
2.373759837518463,0.002
2.624281215777532,0.001
2.3144330232513624,0.001
3.395241759831405,0.001
3.9561186374919206,0.001
2.233201479706692,0.001
2.303169161983658,0.001
2.1556031537132925,0.001
1.8950591132824328,0.002
3.4316303547207117,0.001
2.4600496250042325,0.001
2.1568148797050983,0.001
1.752127570402132,0.002
2.7190920743785147,0.001
1.9517937617018157,0.001
2.2667681134347184,0.001
1.2189686309928913,0.002
2.8419072154394187,0.001
2.8137241672997346,0.001
2.5757031192169837,0.001
2.2695935142353947,0.001
2.597113760557122,0.001
1.232992459468793,0.001
3.222412108917112,0.001
1.7854015999530792,0.001
1.6831770703099402,0.001
2.190169510589497,0.002
2.365816242242784,0.001
1.2860982266463843,0.001
2.144484254794203,0.001
1.5241396162992877,0.001
2.2136199691225675,0.001
1.7066493973336259,0.001
3.0802761865203814,0.001
1.5418501069777668,0.001
2.178299019547156,0.001
3.1649336926027494,0.001
2.104198716629888,0.001
1.9361892540888768,0.001
3.3245484112302854,0.001
2.2343749395634025,0.001
2.0220780062901302,0.002
2.2549926831652938,0.002
1.7640533672191188,0.002
1.1075749827948262,0.001
1.9127661338887818,0.001
2.9336494441138687,0.001
2.755627051514504,0.001
2.4357869699677837,0.001
2.3185342720223154,0.001
2.9800285404580347,0.001
2.0450552758678797,0.001
3.0814693971601224,0.001
2.27078115089829,0.001
2.216755827618929,0.002
1.0395087494654536,0.001
1.9658902391668809,0.001
2.612728732814241,0.001
2.294831464487462,0.002
2.610424322584081,0.001
3.2967624161842592,0.001
2.157737783143439,0.001
3.6177660215966694,0.001
2.706591550639974,0.001
1.8760066140027334,0.001
2.421653140089191,0.001
1.8999532497995129,0.001
2.078075106454841,0.001
2.024397677238789,0.001
2.449915458763024,0.001
3.3544471478203706,0.001
2.4174891258689897,0.001
1.7900095476411682,0.001
2.4199187301979124,0.001
2.8340769681913986,0.001
1.8490099191526517,0.001
2.2193667756674795,0.001
1.646968216282571,0.001
2.6245272736067533,0.001
2.3258901248347246,0.001
1.593776928613465,0.001
2.535632938865496,0.001
1.5070868823222412,0.001
1.5163494218323743,0.001
1.462266234236803,0.001
1.140621097794693,0.001
2.7792078168804655,0.001
1.7424425989722943,0.002
3.2172450834723105,0.001
1.5501077393513185,0.001
1.7847576371297447,0.002
1.6256518318895918,0.001
2.6507774983319994,0.001
2.411223210696303,0.001
1.8567282316852896,0.001
2.8849873425902826,0.001
2.505830977235965,0.001
1.787636686038942,0.001
2.13186142568841,0.001
1.6096941280277495,0.001
3.085107518058733,0.002
2.4709570847887075,0.001
2.113575591307712,0.001
3.0727589530903314,0.001
2.4634688212747395,0.001
2.781251730441374,0.001
2.004795657190312,0.001
1.7509016219462552,0.002
1.9031695731204157,0.001
3.216221458092768,0.001
2.185728719663088,0.001
2.229762405544433,0.001
2.70540215484405,0.001
1.3211124971956407,0.002
2.239798268865166,0.001
2.1386995815581087,0.001
2.0724864198162476,0.001
2.2791302719902546,0.001
3.010747913967111,0.002
2.8190240071848827,0.001
2.081346355036123,0.002
2.348987248695823,0.001
2.252852055789816,0.001
3.5091682109605733,0.001
3.576612215045336,0.001
2.1257232157101957,0.001
3.1806590935420878,0.001
1.604061738583012,0.001
2.181832374366144,0.001
2.4420748123769833,0.001
2.0330041655685025,0.001
1.5840107051662573,0.003
1.709659558947183,0.001
2.0873754449675417,0.001
1.8537235675621038,0.001
1.6663389272841267,0.001
1.9786450252152434,0.002
1.533173211206304,0.001
2.13678241383996,0.001
1.3880397693811157,0.002
1.7933149767624856,0.001
2.096200927726293,0.001
3.67962844095944,0.001
2.4601400105585203,0.001
2.157619216333637,0.001
2.4695772415126656,0.001
3.7147257110401193,0.001
2.885070592262706,0.001
2.439216133580768,0.001
2.3364276818638348,0.001
1.9602785527197948,0.002
1.8445847661166508,0.001
2.0036402005046887,0.001
2.4820628046537703,0.001
3.2962655166333628,0.001
2.410888353732872,0.001
1.8360372493284158,0.002
1.7020479600205831,0.001
1.9771460546969826,0.002
