Sample,level,rate
10000000,1,0.45001585389850163
10000000,2,0.9304244685125811
10000000,3,1.3473536217461792
10000000,4,1.337161833502269
10010000,1,0.5531738522717388
10010000,2,1.0639655624994353
10010000,3,1.1822157213655604
10010000,4,0.7930489325541069
10020000,1,0.40158353264826524
10020000,2,0.8925700314959553
10020000,3,1.2783376205377517
10020000,4,2.1651162884835062
10030000,1,0.704008975693567
10030000,2,0.8551811767742313
10030000,3,1.4747309761207967
10030000,4,0.5503003770663136
10040000,1,0.40394488096910036
10040000,2,1.080931455712273
10040000,3,1.3135836382757724
10040000,4,0.3848749407909511
10050000,1,0.5590978376493678
10050000,2,0.9661301881123421
10050000,3,1.2385140471537555
10050000,4,1.2989606387570112
10060000,1,0.4906632029939758
10060000,2,1.0491961644336898
10060000,3,1.2575702897226904
10060000,4,0.6977897287629098
10070000,1,0.5451689004723178
10070000,2,0.9270084734742653
10070000,3,1.4598291556367373
10070000,4,0.4885138918179809
10080000,1,0.3075762893771851
10080000,2,0.7592452049756058
10080000,3,1.7997264949416811
10080000,4,0.7807140410828042
10090000,1,0.485792753937322
10090000,2,1.0169057536790314
10090000,3,1.2911252971604272
10090000,4,0.8048127893620964
10100000,1,0.43218141057458653
10100000,2,0.8899590530361505
10100000,3,1.4911380238358078
10100000,4,0.9629127289788043
10110000,1,0.4907868290396839
10110000,2,0.9741732532781863
10110000,3,1.3650062308357018
10110000,4,0.7558803024190175
10120000,1,0.6075916498409127
10120000,2,1.025348230039677
10120000,3,1.2265712202320769
10120000,4,0.7227969105588885
10130000,1,0.349900959546806
10130000,2,1.0260554049041186
10130000,3,1.2796067343771151
10130000,4,1.185586626700792
10140000,1,0.7001736788497707
10140000,2,0.9835205584424759
10140000,3,1.2581718981674046
10140000,4,0.6362786129045775
10150000,1,0.544943063529652
10150000,2,0.8954609506427894
10150000,3,1.414448607540326
10150000,4,0.9967271565798833
10160000,1,0.36079349167461877
10160000,2,0.977221939952814
10160000,3,1.4619300376787452
10160000,4,0.5924407870596098
10170000,1,0.41698176815856175
10170000,2,1.0273795139085695
10170000,3,1.2809219141270423
10170000,4,0.9717753921294279
10180000,1,0.37473097320999654
10180000,2,1.0299327421626718
10180000,3,1.3322160332860398
10180000,4,0.7999485707428845
10190000,1,0.33284020793428126
10190000,2,0.9537996375738149
10190000,3,1.4143729971295993
10190000,4,1.124746459254128
10200000,1,0.36629979325018447
10200000,2,1.1030761896720562
10200000,3,1.2826008611210127
10200000,4,0.47352974730167674
10210000,1,0.4497718295912565
10210000,2,0.9180890972116879
10210000,3,1.2688583161277738
10210000,4,1.8603379094789252
10220000,1,0.4098513102335042
10220000,2,0.9251129537246033
10220000,3,1.4219231812113409
10220000,4,1.101309351509637
10230000,1,0.29735451866225693
10230000,2,0.9844505175444797
10230000,3,1.4943353184469392
10230000,4,0.5438024328519574
10240000,1,0.27083807608198307
10240000,2,0.8693588324686601
10240000,3,1.451054207226757
10240000,4,1.8206629996068773
10250000,1,0.4414862102689782
10250000,2,1.025467530646982
10250000,3,1.2386652592411938
10250000,4,1.1417654544836044
10260000,1,0.41835969051028005
10260000,2,0.9502848339227736
10260000,3,1.454369922888232
10260000,4,0.6915806284243583
10270000,1,0.5931444703003443
10270000,2,0.8659027429772413
10270000,3,1.4001015813159017
10270000,4,1.1814387745473318
10280000,1,0.4042832067365178
10280000,2,1.0197174050211721
10280000,3,1.3664447164246587
10280000,4,0.617180667158866
10290000,1,0.6167880162139879
10290000,2,1.1437333458340002
10290000,3,1.0217170171234748
10290000,4,0.7921218672810943
10300000,1,0.6092229397686524
10300000,2,1.0642914205657579
10300000,3,1.2180057207043864
10300000,4,0.43594979215616597
10310000,1,0.6717780406513096
10310000,2,0.8171988902477728
10310000,3,1.450079761511549
10310000,4,1.0954646604532554
10320000,1,0.4719121886647396
10320000,2,0.9973158455259269
10320000,3,1.367246516641173
10320000,4,0.604199661131622
10330000,1,0.44955322649499
10330000,2,0.8937186892550657
10330000,3,1.4123524753856564
10330000,4,1.3007909194358933
10340000,1,0.7969568949442305
10340000,2,0.9860407811640962
10340000,3,1.0853500343924827
10340000,4,1.2544989648548626
10350000,1,0.46806667270005337
10350000,2,1.0262425677534806
10350000,3,1.2380028252466757
10350000,4,1.0612488580507016
10360000,1,0.37733289948170223
10360000,2,0.8609855879615014
10360000,3,1.6120740833553342
10360000,4,0.7217552332738721
10370000,1,0.35617612207526184
10370000,2,0.8062229510850989
10370000,3,1.705234787277122
10370000,4,0.7475242735028425
10380000,1,0.3670656294419958
10380000,2,0.8494375994784655
10380000,3,1.5899041696161698
10380000,4,0.9671365472307801
10390000,1,0.4438695065624258
10390000,2,0.8509798322629546
10390000,3,1.573450085627968
10390000,4,0.817899894297154
10400000,1,0.6316226102521982
10400000,2,0.9074188875281876
10400000,3,1.3187745014196364
10400000,4,1.153527742497375
10410000,1,0.3917311002250331
10410000,2,0.8762063265493976
10410000,3,1.5314071655869206
10410000,4,0.9818761594227262
10420000,1,0.3421806590513059
10420000,2,0.8867226569968755
10420000,3,1.5572653317129366
10420000,4,0.8999756122410764
10430000,1,0.30992499054041805
10430000,2,0.9819042145169434
10430000,3,1.4662334668408006
10430000,4,0.6784464822551663
10440000,1,0.3409942760302048
10440000,2,0.9653541014277887
10440000,3,1.497094057412563
10440000,4,0.562534701694426
10450000,1,0.4683098251739277
10450000,2,0.8450672176320235
10450000,3,1.5919423101716879
10450000,4,0.6977549405909246
10460000,1,0.3841012495045214
10460000,2,0.9173553235152623
10460000,3,1.3747824610968853
10460000,4,1.4931242568417127
10470000,1,0.30294983312929225
10470000,2,0.9156587408587701
10470000,3,1.5210336592045715
10470000,4,0.9640890687206147
10480000,1,0.42944807946718044
10480000,2,0.9465786151399536
10480000,3,1.4428146842065566
10480000,4,0.752061441691072
10490000,1,0.7755888916933609
10490000,2,0.9469069125138756
10490000,3,1.2845012162289435
10490000,4,0.5840593990148074
10500000,1,0.6130507898385753
10500000,2,1.0115055473622117
10500000,3,1.2869065034199076
10500000,4,0.5015954877659644
10510000,1,0.6381388168000097
10510000,2,0.9200969987418423
10510000,3,1.3936693761078853
10510000,4,0.6283753723474909
10520000,1,0.680060740025697
10520000,2,0.8106917484073737
10520000,3,1.5671064305372606
10520000,4,0.5019329962976756
10530000,1,0.4493011400260203
10530000,2,1.0625594789737614
10530000,3,1.2410268981071935
10530000,4,0.7941859369898487
10540000,1,0.4407309916657788
10540000,2,0.8491972314056807
10540000,3,1.6048098024176276
10540000,4,0.674805630416251
10550000,1,0.48811974717783857
10550000,2,1.021806749449313
10550000,3,1.302314195975751
10550000,4,0.6971015509956711
10560000,1,0.5144274159128832
10560000,2,0.9101816158127922
10560000,3,1.4409697325667332
10560000,4,0.8203861968071122
10570000,1,0.48911987655093936
10570000,2,0.9470253396902082
10570000,3,1.4010079124846846
10570000,4,0.7972282177487907
10580000,1,0.46145451361422235
10580000,2,0.9493098024119185
10580000,3,1.4153591824048186
10580000,4,0.7821511921657727
10590000,1,0.4492525842083865
10590000,2,0.9279887802337577
10590000,3,1.4738920033196667
10590000,4,0.6850170447199373
10600000,1,0.5226713403472776
10600000,2,1.0010868872727234
10600000,3,1.3102706381558806
10600000,4,0.7282838859437366
10610000,1,0.4308534660073198
10610000,2,1.1038556349907434
10610000,3,1.2190823972934506
10610000,4,0.6174530107414345
10620000,1,0.3656599672468677
10620000,2,0.9789103721042638
10620000,3,1.3944149644956738
10620000,4,0.9241163196753968
10630000,1,0.4279111759045024
10630000,2,1.0534371382566345
10630000,3,1.2902285092879453
10630000,4,0.6709444404160625
10640000,1,0.37319146472057974
10640000,2,0.8575743738432646
10640000,3,1.5964323798941733
10640000,4,0.8459678886153235
10650000,1,0.5389476674176263
10650000,2,0.9227949343580037
10650000,3,1.420314453935367
10650000,4,0.752868184863523
10660000,1,0.427163668008518
10660000,2,0.9507293448439663
10660000,3,1.4159865577305062
10660000,4,0.8668723413089834
10670000,1,0.4475518477696196
10670000,2,0.995929017423152
10670000,3,1.3395859646186152
10670000,4,0.8344460693943744
10680000,1,0.327606449106872
10680000,2,0.9665734130811555
10680000,3,1.4693715161583658
10680000,4,0.7391735438271874
10690000,1,0.5225120714839298
10690000,2,0.9142289466877864
10690000,3,1.3372196944118833
10690000,4,1.3160744533528912
10700000,1,0.4852943337159662
10700000,2,1.0143246893362143
10700000,3,1.3081277530267978
10700000,4,0.7373107086057917
10710000,1,0.6602463602450348
10710000,2,0.9504187552381539
10710000,3,1.3429850524527613
10710000,4,0.5790033129493672
10720000,1,0.4190268557619258
10720000,2,0.9235611634983365
10720000,3,1.539723566564118
10720000,4,0.45933952290799746
10730000,1,0.48190119456039604
10730000,2,0.9433954523483113
10730000,3,1.427065934846206
10730000,4,0.7098581394207034
10740000,1,0.4479752738868845
10740000,2,0.9609163752301494
10740000,3,1.2237030791323038
10740000,4,1.7459428709371203
10750000,1,0.48023610736444633
10750000,2,0.9337217890710137
10750000,3,1.4642962895997491
10750000,4,0.5975727509739348
10760000,1,0.4706645782954269
10760000,2,0.9860310824028335
10760000,3,1.2724384854247812
10760000,4,1.208461447482253
10770000,1,0.46795517713353046
10770000,2,0.8691185675264712
10770000,3,1.5813763031275045
10770000,4,0.5527091733326204
10780000,1,0.43413023834686043
10780000,2,1.186747681478025
10780000,3,1.09985319471117
10780000,4,0.5461101139219727
10790000,1,0.5081633650124587
10790000,2,1.0016000136666443
10790000,3,1.3485610525471654
10790000,4,0.5620644567677904
10800000,1,0.4935407967633346
10800000,2,0.9660903666307333
10800000,3,1.426431240439564
10800000,4,0.48827880795401757
10810000,1,0.5844481265329868
10810000,2,0.9368557104263737
10810000,3,1.4300320832491438
10810000,4,0.44998629086128683
10820000,1,0.5284837503400416
10820000,2,0.9460399036826679
10820000,3,1.3497118272995647
10820000,4,0.9642901265814982
10830000,1,0.54792874786602
10830000,2,0.9837545952170423
10830000,3,1.2913354294300905
10830000,4,0.9014843520201238
10840000,1,0.3370192781107062
10840000,2,0.9281722291470074
10840000,3,1.3621304958039198
10840000,4,1.6068815325688257
10850000,1,0.3258440239046118
10850000,2,0.912509926290687
10850000,3,1.5991983857440244
10850000,4,0.5069383266967387
10860000,1,0.4040482069889991
10860000,2,1.0027686383546117
10860000,3,1.3277635219648127
10860000,4,0.9668179063183733
10870000,1,0.36740905198545326
10870000,2,0.8797815519759495
10870000,3,1.5398514158123067
10870000,4,0.9776879849124878
10880000,1,0.4441907270049142
10880000,2,0.9458403512309184
10880000,3,1.4630920528608007
10880000,4,0.6071298081177693
10890000,1,0.6849994916499413
10890000,2,0.9857418577499039
10890000,3,1.207459367158045
10890000,4,0.9323075551163431
10900000,1,0.4848435653321768
10900000,2,0.9611128631874492
10900000,3,1.422833849115567
10900000,4,0.5747258073370304
10910000,1,0.5223989197911846
10910000,2,0.9892218984348505
10910000,3,1.3528428719274184
10910000,4,0.6018901885027561
10920000,1,0.4603123103817697
10920000,2,0.9346247863008936
10920000,3,1.5029705058902967
10920000,4,0.4418211119390018
10930000,1,0.44482857128128617
10930000,2,0.9834175117873732
10930000,3,1.3410777691434774
10930000,4,0.9397378407872433
10940000,1,0.40627495786077017
10940000,2,0.979786654930411
10940000,3,1.298212629919448
10940000,4,1.311359667671339
10950000,1,0.4773863841057475
10950000,2,1.0845410841846415
10950000,3,1.2256963780650083
10950000,4,0.6090215714573932
10960000,1,0.4266488690431231
10960000,2,1.005003995872445
10960000,3,1.2673136126776694
10960000,4,1.2044845657501728
10970000,1,0.4239849334744392
10970000,2,1.0945906893012403
