group,n_lgs,mean,median,sd,HPDI_lower,HPDI_upper
Kra-Dai,102,5.021380441026554,4.5515288136470815,2.2618911324264688,1.6777031972180592,9.559471058350681
Kam-Tai,69,3.455056108598513,3.1553808836746624,1.509393567398532,1.1040814936115428,6.323780466129078
Tai-Yay,53,1.719668613932533,1.6432679622033373,0.4577024856581538,1.0047782574113227,2.568899223225133
