level,n_chars,mean,median,sd,HPDI_lower,HPDI_upper
1,36,0.6045001820941951,0.6000895216402394,0.09055821205982616,0.4340258679936882,0.789631719222822
2,102,1.027895211961197,1.0290905996161894,0.059538433236342655,0.9117860920003551,1.1448668853435535
3,65,1.204744167783129,1.2030627634698825,0.09574395818670432,1.0145584419342557,1.3912061872394585
4,13,0.8267875400417435,0.7782167354057296,0.2701887096652613,0.3834314362985132,1.3915153787502414
