#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:tree" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:tree" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:tree" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.kd-merged_filtered" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:tree" name="distribution" x="@BDBirthRate.t:tree">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:tree" name="distribution" x="@BDDeathRate.t:tree">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="bcov_alpha_prior.s:kd-merged_filtered" name="distribution">
#            <parameter id="bcov_alpha.s:kd-merged_filtered" lower="1.0E-4" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="bcov_s_prior.s:kd-merged_filtered" name="distribution">
#            <parameter id="bcov_s.s:kd-merged_filtered" lower="1.0E-4" name="x" spec="beast.core.parameter.RealParameter" upper="10.0">0.5</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter" upper="0.0">0.05</parameter>
#                <parameter id="RealParameter.1" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter" upper="0.0">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="10.0">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="Li.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="Li" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="HlaiBaisha" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="HlaiQiandui" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="HlaiXifang" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="HlaiZhongsha" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.6" lower="0.5" name="distr" upper="1.5"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.kd-lg-elaged-filtered" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree" useAmbiguities="true">
#            <data ascertained="true" data="@kd-merged_filtered" excludeto="1" filter="-" id="orgdata.kd-merged_filtered" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="TwoStateCovarion.0" spec="beast.evolution.datatype.TwoStateCovarion"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="SiteModel.s:kd-merged_filtered" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:kd-merged_filtered" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:kd-merged_filtered" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:kd-merged_filtered" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel alpha="@bcov_alpha.s:kd-merged_filtered" id="covarion" spec="beast.evolution.substitutionmodel.BinaryCovarion" switchRate="@bcov_s.s:kd-merged_filtered">
#                    <parameter dimension="2" id="frequencies.s:kd-merged_filtered" lower="0.0" name="vfrequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                    <parameter dimension="2" estimate="false" id="hiddenfrequencies.s:kd-merged_filtered" lower="0.0" name="hfrequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                    <frequencies data="@kd-merged_filtered" estimate="false" id="dummyfrequencies.s:kd-merged_filtered" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#    <distribution id="fossilCalibrations" spec="beast.core.util.CompoundDistribution"/>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood.kd-merged_filtered	TreeHeight.t:tree	mutationRate.s:kd-merged_filtered	bcov_alpha.s:kd-merged_filtered	bcov_s.s:kd-merged_filtered	frequencies.s:kd-merged_filtered.1	frequencies.s:kd-merged_filtered.2	BirthDeath.t:tree	BDBirthRate.t:tree	BDDeathRate.t:tree	logP(mrca(Li))	mrca.age(Li)	clockRate.c:clock
19	-4200.010536221697	-4213.571393018749	-4200.010536221697	-13.560856797052299	NaN	0.7508651817622579	1.0	0.20877257475350425	1.464878402766169	0.5882919047017795	0.41170809529822017	-3.0599215964676696	2.1705922788434275	0.15858804449118608	0.0	0.5017245710002515	0.910722800714994
20	-4184.79143124052	-4197.078004237581	-4184.79143124052	-12.286572997061155	NaN	0.7497713873683163	1.0	0.27303393309375873	0.03361226725821872	0.5507517564150562	0.4492482435849432	-5.514669008241935	1.4688817420789846	0.43423717636754994	0.0	0.6105371739783136	0.39690509638447696
21	-4169.469317764257	-4193.047006145523	-4169.469317764257	-23.577688381265787	NaN	2.0436432645787885	1.0	0.7707026727765208	0.0068716958996563725	0.5327844054521919	0.4672155945478071	-18.316564606990514	0.8867901715839791	0.06503922549798413	0.0	0.6986493348086296	0.28724740938717824
22	-4164.391946761771	-4195.289315446378	-4164.391946761771	-30.897368684607756	NaN	3.7640065249972627	1.0	0.2937468362014831	0.07051744341313997	0.6004742564859207	0.39952574351407855	-23.417853622277853	0.2772686124555075	0.7948124391015252	0.0	0.5176197018709754	0.21632305419597295
23	-4160.72852750713	-4196.3465726204095	-4160.728527507129	-35.61804511328019	NaN	4.61232522418473	1.0	0.3558956433786132	0.06034010490375618	0.6213283966717935	0.3786716033282057	-28.28761775947936	0.6063229702626507	0.17865867353416298	0.0	1.274871543015791	0.3362567189249408
24	-4155.645375448519	-4169.516894258767	-4155.6453754485165	-13.871518810250235	NaN	1.4176769415424457	1.0	0.5187204183438829	0.06028232823092187	0.6391023046161399	0.3608976953838597	-6.542007310989854	1.8134250450328764	0.028226961816206313	0.0	0.6014869903364847	0.9907570751983105
25	-4134.1417968274645	-4147.554545136349	-4134.1417968274645	-13.412748308884574	NaN	1.742962750383796	1.0	0.894399508725188	0.003764218913835099	0.5209978586307739	0.479002141369225	-8.723712306414527	1.2860802774051243	0.11571574025025037	0.0	0.9501864137059581	0.5817499329676353
26	-4044.2010415341747	-4059.226227770957	-4044.2010415341747	-15.02518623678209	NaN	1.6536034489541098	1.0	0.8440293645533207	0.010053364806668581	0.5066170799993251	0.49338292000067374	-9.40227266480252	1.2492969519940145	0.32933817743712135	0.0	0.5524529847746562	0.4550770111519121
27	-4031.613734796864	-4039.028952594971	-4031.613734796864	-7.415217798107216	NaN	0.8823534068366325	1.0	0.6478126687779405	0.004419681820573703	0.5977634789804269	0.4022365210195727	-2.5736152884318377	1.2760562520256455	0.450025788058205	0.0	0.5576020433424977	0.3690637193851919
28	-4002.0992086730766	-4017.12112506148	-4002.099208673076	-15.021916388403751	NaN	1.3789656268841681	1.0	0.19298985331422341	0.01131854972171102	0.5622405615607488	0.43775943843925125	-9.286267513075781	1.3419212426486997	0.0447646661106094	0.0	0.5658813345951264	0.2339253255932743
29	-3983.295671840054	-4009.3521115081235	-3983.2956718400533	-26.056439668070418	NaN	2.8396067377051875	1.0	0.997895285322671	0.0035566557001305305	0.5302302671822673	0.46976973281773227	-21.4213081242471	0.8501095874707301	0.039089098230941755	0.0	0.5817810912725898	0.22855487263605084
30	-3962.534261319633	-3992.0689142558786	-3962.534261319633	-29.53465293624552	NaN	3.268715483580861	1.0	0.2613217234364559	0.001973338167489498	0.5211368934567827	0.4788631065432173	-25.459319103310435	0.519214599020826	0.6546704947387049	0.0	0.6504029959916307	0.15163198460498162
31	-3957.506438180444	-3968.476842929489	-3957.5064381804436	-10.970404749045349	NaN	0.9780417278357072	1.0	0.26058978913255154	0.002859096532411381	0.5756648051173361	0.4243351948826638	-6.542742226432637	1.9030794451748188	0.19338778812216081	0.0	0.6241413144323381	0.6556575978549778
32	-3950.7839767148103	-3970.079158816748	-3950.7839767148103	-19.2951821019379	NaN	1.9894173208429462	1.0	0.09055161494388213	0.01328370396713909	0.6552092724291056	0.3447907275708942	-13.407246394460596	1.4685880562087978	0.15432651581053283	0.0	1.1242780067139255	0.4420804580338104
33	-3942.0119719420995	-3970.8307777312884	-3942.011971942099	-28.818805789189323	NaN	2.6523464060185358	1.0	0.35505280677274015	0.0016290955842637488	0.5167802570595169	0.4832197429404831	-24.925622905658756	0.25115603038280737	0.6851207452865637	0.0	1.1872983699252373	0.14789439400493007
34	-3932.8450489559127	-3968.1438633211965	-3932.8450489559127	-35.298814365283825	NaN	4.735043829909731	1.0	0.5044383352030595	0.012169203025644898	0.6009869886893587	0.3990130113106409	-29.494238228178325	0.4197146299391861	0.47752072712821364	0.0	1.4407252410821312	0.22286147562705186
35	-3916.3376086209482	-3935.6208618067103	-3916.3376086209482	-19.283253185761897	NaN	1.9534093072251375	1.0	0.4937424717921523	0.0025746663948506897	0.5129805513608907	0.4870194486391094	-14.955165527663233	0.7756102619020661	0.2081187034736685	0.0	0.5327237087013186	0.19149304970196598
36	-3908.106849634113	-3925.5443673147897	-3908.106849634113	-17.437517680676397	NaN	1.8443233393355267	1.0	0.2871969071145363	8.796343165736632E-4	0.5462319327146795	0.45376806728532015	-14.12987005445562	1.422244279411213	0.025570246764082302	0.0	0.6396894005086322	0.3298266363016194
