#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:tree" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:tree" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:tree" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.kd-looms_pruned_filtered" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:tree" name="distribution" x="@BDBirthRate.t:tree">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:tree" name="distribution" x="@BDDeathRate.t:tree">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="bcov_alpha_prior.s:kd-looms_pruned_filtered" name="distribution">
#            <parameter id="bcov_alpha.s:kd-looms_pruned_filtered" lower="1.0E-4" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="bcov_s_prior.s:kd-looms_pruned_filtered" name="distribution">
#            <parameter id="bcov_s.s:kd-looms_pruned_filtered" lower="1.0E-4" name="x" spec="beast.core.parameter.RealParameter" upper="Infinity">0.5</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter" upper="0.0">0.05</parameter>
#                <parameter id="RealParameter.1" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter" upper="0.0">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="Li.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="Li" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="Ha_Li" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Meifu_Li" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Qi_Li" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Run_Li" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.6" lower="0.5" name="distr" upper="1.5"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.kd-looms_pruned_filtered" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree" useAmbiguities="true">
#            <data ascertained="true" data="@kd-looms_pruned_filtered" excludeto="1" filter="-" id="orgdata.kd-looms_pruned_filtered" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="TwoStateCovarion.0" spec="beast.evolution.datatype.TwoStateCovarion"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="SiteModel.s:kd-looms_pruned_filtered" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:kd-looms_pruned_filtered" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:kd-looms_pruned_filtered" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:kd-looms_pruned_filtered" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel alpha="@bcov_alpha.s:kd-looms_pruned_filtered" id="covarion" spec="beast.evolution.substitutionmodel.BinaryCovarion" switchRate="@bcov_s.s:kd-looms_pruned_filtered">
#                    <parameter dimension="2" id="frequencies.s:kd-looms_pruned_filtered" lower="0.0" name="vfrequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                    <parameter dimension="2" estimate="false" id="hiddenfrequencies.s:kd-looms_pruned_filtered" lower="0.0" name="hfrequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                    <frequencies data="@kd-looms_pruned_filtered" estimate="false" id="dummyfrequencies.s:kd-looms_pruned_filtered" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#    <distribution id="fossilCalibrations" spec="beast.core.util.CompoundDistribution"/>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.kd-looms_pruned_filtered	TreeHeight.t:tree	mutationRate.s:kd-looms_pruned_filtered	bcov_alpha.s:kd-looms_pruned_filtered	bcov_s.s:kd-looms_pruned_filtered	frequencies.s:kd-looms_pruned_filtered.1	frequencies.s:kd-looms_pruned_filtered.2	BirthDeath.t:tree	BDBirthRate.t:tree	BDDeathRate.t:tree	logP(mrca(Li))	mrca.age(Li)	clockRate.c:clock
0	-2519.1012896426923	-2277.781003079349	-241.3202865633435	-2277.781003079349	26.12097508685556	1.0	0.5	0.5	0.5	0.5	-231.9370126501919	1.0	0.5	0.0	0.8050137870156152	1.0
10000	-1401.9385505464588	-1353.2938436177767	-48.644706928682034	-1353.2938436177767	7.749260387194359	1.0	0.39397081494719915	0.3219782328934533	0.5387497582991114	0.46125024170088846	-39.69735313936996	0.16591950549601814	0.1280016399564699	0.0	0.6867120177644013	0.03898545200917251
20000	-1388.1915179768766	-1341.0622842095431	-47.12923376733354	-1341.0622842095431	8.996029619318954	1.0	0.5965357987533186	0.9231130054900356	0.5677084160935609	0.43229158390643885	-37.12116217029976	0.23962515295501083	0.0051523663124274964	0.0	0.5872109984351587	0.04515184748746752
30000	-1383.6057730935515	-1334.3999169537765	-49.20585613977514	-1334.3999169537765	14.174853314274172	1.0	0.48624519100365654	0.3038208082615083	0.5944116617286928	0.40558833827130747	-40.31546166224762	0.19374433105388353	0.17923280373774475	0.0	0.5035417777385381	0.04504673694064374
40000	-1363.357028477734	-1321.604568136638	-41.7524603410961	-1321.604568136638	8.234738522016437	1.0	0.7692942042814909	3.7023495606297594	0.6454157743784635	0.35458422562153624	-30.1469423975755	0.36419882785588914	0.40076241605735274	0.0	0.661341121766042	0.0867211492710093
50000	-1360.1361813590167	-1308.4162208620523	-51.71996049696434	-1308.4162208620523	21.986094828482646	1.0	0.2891236646609607	0.22441445642933747	0.7320999681631122	0.26790003183688804	-43.12530296721495	0.16313899201668022	0.5769765501796722	0.0	0.9802511155725551	0.04707911845703038
60000	-1361.7123719657293	-1316.7743909374587	-44.93798102827058	-1316.7743909374587	11.812036997557707	1.0	0.5476994098864161	1.49551966800853	0.7239362389913858	0.27606376100861385	-34.414315263847776	0.15135244069683093	0.6173747723290687	0.0	0.639156782397592	0.06989740835457384
70000	-1363.1499228408886	-1308.310188503566	-54.83973433732268	-1308.310188503566	24.840311065740412	1.0	0.10345172883183613	0.38827934757727056	0.7087137297782078	0.29128627022179243	-45.70787138678877	0.07217953266330615	0.6848688379342707	0.0	0.6302175053214077	0.04391371950598709
80000	-1359.9989573040305	-1305.0880171560666	-54.910940147963906	-1305.0880171560666	33.52547586358497	1.0	0.13687373256987437	0.20816616268808705	0.7190208959345536	0.2809791040654462	-46.389307523177	0.05039633781743536	0.785028244378444	0.0	1.0414287300888858	0.04836225963377374
90000	-1358.0059496856156	-1310.6194302383756	-47.386519447240026	-1310.6194302383756	16.465161244825705	1.0	0.13820983891196384	0.27726612567121023	0.7233535255670897	0.27664647443291024	-38.58566771693062	0.32055239238465955	0.4554292450221412	0.0	0.5366887655868651	0.08434950757285893
100000	-1361.2233869268186	-1307.0085552256148	-54.21483170120389	-1307.0085552256148	31.386847767126337	1.0	0.031026847200641708	0.3176939408709702	0.7560699264692889	0.243930073530711	-45.28063204169167	0.09735025896378206	0.5769151569651468	0.0	0.5839517096025768	0.05520321528453412
110000	-1350.249621811518	-1308.9874986467994	-41.262123164718446	-1308.9874986467994	17.747526053290613	1.0	0.2971673514343874	0.018942308718467086	0.7166283903132915	0.28337160968670844	-35.03650463627069	0.13153181999564195	0.7142414547369696	0.0	0.5394790411900693	0.08730215752809357
120000	-1352.854831277134	-1312.0904371278125	-40.764394149321646	-1312.0904371278125	10.690891954598897	1.0	0.19132748281923875	0.03739486945759433	0.713057325418453	0.2869426745815469	-33.89080160372977	0.24414504630205977	0.30491621048173045	0.0	0.5096357302427843	0.09952571979667546
130000	-1364.9930599570127	-1310.7774142582573	-54.215645698755424	-1310.7774142582573	24.760924470524653	1.0	0.03356800919202833	0.5798816759957909	0.71065006286348	0.28934993713651996	-44.68357843947211	0.16681181432041198	0.40414331269568193	0.0	0.5231413193545401	0.051813799207598515
140000	-1357.57959294792	-1306.8693716875807	-50.71022126033929	-1306.8693716875807	31.35792255034656	1.0	0.253788937713362	0.12257708774541612	0.728048044862504	0.2719519551374958	-42.70026421811943	0.04907361269059871	0.8755221815915326	0.0	0.6178004674232571	0.05599876062814797
150000	-1365.899831729269	-1313.1405095406503	-52.75932218861852	-1313.1405095406503	24.823665833351626	1.0	0.08141536238486576	0.2694888668577268	0.7024794290868128	0.2975205709131872	-43.98627635710413	0.10659615529689938	0.5409798163329638	0.0	0.6324671597881066	0.04998184239947912
160000	-1367.2294226405209	-1310.181510847929	-57.04791179259171	-1310.181510847929	32.070280893951846	1.0	0.09590600264658071	0.17830196677004748	0.7330196493327724	0.26698035066722736	-48.676380748551374	0.06971620663514853	0.6461653658256544	0.0	0.8306639635869913	0.05048973325694644
170000	-1352.4838314995125	-1309.7763266644429	-42.70750483506967	-1309.7763266644429	13.015349088855716	1.0	0.3943246200800608	0.09214287341217775	0.7089396241926218	0.29106037580737815	-34.971721000986534	0.07781747894947241	0.8815133647469439	0.0	0.5809965994703971	0.07594124559278606
180000	-1353.959996106322	-1305.9345433943226	-48.02545271199928	-1305.9345433943226	34.19522878894788	1.0	0.33919095820452855	0.018096366788892895	0.7171733733109492	0.28282662668905073	-41.8433212268538	0.045832777309817704	0.9386957867756138	0.0	0.5328112655483497	0.06012716194559578
