Sample	posterior	likelihood	prior	treeLikelihood.kd-looms_1111	TreeHeight.t:tree	mutationRate.s:kd-looms_1111	freqParameter.s:kd-looms_1111.1	freqParameter.s:kd-looms_1111.2	clockRate.c:clock	FBD.t:tree	diversificationRateFBD.t:tree	turnoverFBD.t:tree	samplingProportionFBD.t:tree	originFBD.t:tree	SACountFBD.t:tree	logP(mrca(LZ.prior))	height(Liangzhu)	
0	-Infinity	-4212.74309003501	-Infinity	-4212.74309003501	22.900197819332877	1.0	0.5020086654890282	0.4979913345109715	9.60082114781703	-75.60269121813793	0.10068387803623281	0.1818105314933518	0.36729995793127984	23.988278058643434	1.0	-Infinity	5.300000000000001	
1	-Infinity	-4212.74309003501	-Infinity	-4212.74309003501	411.85643128142436	1.0	0.5174742985501681	0.482525701449832	5.477400319800101	-142.60088284719424	0.00821836037386661	0.7125383638844042	0.020748565151512317	465.9217902014987	0.0	-Infinity	5.300000000000125	
2	-Infinity	-4212.74309003501	-Infinity	-4212.74309003501	411.85643128142436	1.0	0.5174742985501681	0.482525701449832	5.477400319800101	-142.60088284719424	0.00821836037386661	0.7125383638844042	0.020748565151512317	465.9217902014987	0.0	-Infinity	5.300000000000125	
3	-Infinity	-4212.74309003501	-Infinity	-4212.74309003501	411.85643128142436	1.0	0.5174742985501681	0.482525701449832	5.477400319800101	-142.60088284719424	0.00821836037386661	0.7125383638844042	0.020748565151512317	465.9217902014987	0.0	-Infinity	5.300000000000125	
4	-Infinity	-4212.74309003501	-Infinity	-4212.74309003501	411.85643128142436	1.0	0.5174742985501681	0.482525701449832	5.477400319800101	-142.60088284719424	0.00821836037386661	0.7125383638844042	0.020748565151512317	465.9217902014987	0.0	-Infinity	5.300000000000125	
5	-Infinity	-4212.74309003501	-Infinity	-4212.74309003501	788.0985305344916	1.0	0.5170580189261883	0.48294198107381164	4.5987480790299555	-170.81680795351585	0.0037463846740717482	0.036647930998471155	0.4936601666025118	815.2870654410808	1.0	-Infinity	5.300000000000068	
6	-Infinity	-4212.74309003501	-Infinity	-4212.74309003501	788.0985305344916	1.0	0.5170580189261883	0.48294198107381164	4.5987480790299555	-170.81680795351585	0.0037463846740717482	0.036647930998471155	0.4936601666025118	815.2870654410808	1.0	-Infinity	5.300000000000068	
7	-Infinity	-4212.74309003501	-Infinity	-4212.74309003501	411.85643128142436	1.0	0.5174742985501681	0.482525701449832	5.477400319800101	-142.60088284719424	0.00821836037386661	0.7125383638844042	0.020748565151512317	465.9217902014987	0.0	-Infinity	5.300000000000125	
