group,n_lngs,mean,median,sd,hdi_lower,hdi_upper
Kra-Dai,101,5.121978324232726,4.945022815759527,1.451678465206644,2.898820347419735,8.35608612964004
Kam-Tai,68,2.961247250404113,2.829871768086039,0.7497507885409752,1.7533124854206519,4.358671741432667
Tai-Yay,52,1.955652284371351,1.9048371332803165,0.3641603501549439,1.3853983705388355,2.7087333385004317
