level,n_chars,mean,median,sd,hdi_lower,hdi_upper
1,36,0.6045067073536888,0.600072501120543,0.09058257460973444,0.4329240130799819,0.788899901072664
2,102,1.02792721699669,1.0291334516817476,0.05953512318405106,0.9123764841730948,1.1454474461150708
3,65,1.2046918135299498,1.2029191449851744,0.09581655323925888,1.0146943028689048,1.391242652436763
4,13,0.8267783550031108,0.7781707572254323,0.2699403787283086,0.3757212449364609,1.3830321478072456
