cogid,concept_id,concept,BeChengmaiMY,BeChengmaiYL,BeHaikouCL,BeHaikouRS,BeJizhao,BeLinGaoLC,BeLinGaoXY,BeQiongshanLQ,BeQiongshanLT,HlaiBaisha,HlaiBaoding,HlaiBaoting,HlaiChangjiang,HlaiCun,HlaiHeitu,HlaiJiamao,HlaiNadou,HlaiQiandui,HlaiTongza,HlaiXifang,HlaiYuanmen,HlaiZhongsha,KraBuyangBH,KraBuyangEC,KraBuyangLJ,KraBuyangYR,KraGelaoAS,KraGelaoDF,KraGelaoMJ,KraGelaoZF,KraLachi,KraLaha,KraPubiao,KsBiao,KsChadong,KsJin,KsKamJP,KsKamLP,KsKamRJ,KsKamTZ,KsLakkia,KsMak,KsMaonan,KsMulam,KsSuiDS,KsSuiDY,KsSuiLB,KsSuiSD,KsThen,TcCaoBanTai,TcDaxin,TcDebao,TcFusui,TcLongAn,TcLongzhou,TcQinzhou,TcShangsi,TcWenma,TcYanshan,TcYongning,TnDonglan,TnDuAn,TnFengshan,TnHengxian,TnHuishui,TnLianshan,TnLibo,TnLiujiang,TnLuodian,TnPanxian,TnPingguo,TnQianxi,TnQiubei,TnSaek,TnShuicheng,TnTiandong,TnWuming,TnZhenfeng,TnZhenning,TswAhom,TswAiton,TswBangkok,TswChiangmai,TswHsipaw,TswJinghong,TswJinping,TswJinsha,TswKhuen,TswKorat,TswLao,TswLuchun,TswMaguan,TswMangshi,TswMenglian,TswNgheAn,TswPhake,TswSongkhla,TswTaunggyi,TswThaiTrang,TswWuding,TswYuanjiang,TswYuanyang
N402,S061,nose,zɔŋ1,zɔŋ1,hɑu3zɔŋ1,hau3zɔŋ1,lu4naːŋ1,lɔŋ1,lɔŋ1,zɔŋ1',zɔŋ1',,,,,,,,,,,,,,,,,,,,,,,,,ńaŋ3,naŋ1,naŋ1,naŋ1,nɐŋ1,naŋ1,naŋ1,naŋ1,naŋ6,ʔnaŋ1,naŋ1,naŋ1,naŋ1,ʔnɐŋ1,ʔnɐŋ1,ʔnaŋ1,dʔaŋ3,daŋ1,daŋ2,nɯŋ1,naŋ1,maːk7ʔdaŋ1,naŋ1,daŋ1,ɗɛ̃A1,daŋ1,naŋ1',daŋ1,daŋ1,ʔdaŋ1,naŋ1,dɑŋ1,laŋ1,dɑŋ1,naŋ1,dɑŋ1,dɑŋ1,daŋ1,dɑŋ1,daŋ1,daŋ23,dɑŋ1,daŋ1,daŋ1,dɑŋ1,dɑŋ1,nang,naŋ2/daŋ2,daŋ2,hu2daŋ2,khu4laŋ3,daŋ1,laŋ1,hu1laŋ6,laŋ1,,daŋ4,laŋ2,daŋ1',hu2laŋ6,lâŋ6,laŋ1,naŋ²,,khu1laŋ3,daŋ1,lâŋ1',laŋ1,laŋ1'
N402b,S061,nose,,,,,,,,,,,,,,,,,,,,,,,,tiŋ32,qa0tiŋ24,khe0teŋ33,,,,,,,qa33taŋ33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N403,S061,nose,,,,,,,,,,khak7,khat7,khat7,khaʔ7,khat2,khet7,hɔːt9,khaʔ4,khat7,khat7,khak7,khat7,khat7,ŋat33,,,,ma3ńće12,pa1ʔa1ŋua3,tə0ŋe2,ljuŋ2ńe4,mi55ńa31,ŋat34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N404,S062,not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,di5/di6,,,,dɨːi1,,di1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N405,S062,not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m6,,me2,,,,,,me2,,,mɛ2,me2,mɛ2,mɛ2,me2,,mi2,mei2,mi1',mɯi2,mi5ćɨ6,mai3,mi3',,,mei1,,,,,mi2,mi2,mei2,,mi2,mei2,,mi2,mi6,,,m̩4,mi3,mi2,mei2,,,mia2/mai3,,,,,,,mai4,,mə4,,m1,mâ5,,,maːi4,,,,m5,
N406,S062,not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bʔəu1,mo6,pɔ6,,,bo5,,,,bo5,,bau6,bau5,ʔbau6tiu2,,,,,bau5,,,bu6,,,bo33,,,bau3/bɯ3,,,,,boːB1/B2,bɔ3cai4,,bau5,vau5,vu1chəai5,bau2,,bɔː33,,pu2,,,bɔ4,mau¹,,,bau5,vu5,vu5,
N407,S062,not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pa7ti7seːt,,,,,,,,,,,,
N408,S062,not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,va1'
N409,S062,not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,am2,,,ʔam2,,,,,,,,,,,,,,ʔam2caɨ4,,,,
N410,S062,not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nyang,,,,,,,,,,,,,jaŋ6,,,,,,,,,
N411,S062,not,,,,,,,,,,,gwai2,vey[4],,vaːi21,,,,,vey4,,,,,,,,,,,,,,,,kwe2,,,qəi2,kwe2/ʔəi3,kwe2,hwãi1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N412,S062,not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kam3ciŋ5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N413,S062,not,,,,,,,,,,,,,,,ʔeːm2,,,,,,,ʔeːm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N414,S062,not,m5nia2/am5nia2,,,,,mən2,mən2,,,van3,ʔweɲ3,,,v[ɛ]n3,,,ʔwan3,van3,van6,ɣan3,van6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N415,S062,not,,,zɑŋ5,zaŋ5,,,,ŋŋ̍5,zɐŋ5/ŋŋ̍5,,,,,,,ŋɔː1,,,,,,,,,,,,,,,,,,,,,ŋe22,,,,ŋ̍3,,,ŋ3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N416,S062,not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nam45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N417,S062,not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tau35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N418,S062,not,,,,,,,,,,,,,,,,,,,,,,,,,laːi11,tu33la31,,,,,ljo11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N419,S062,not,,,,,,,,,,,,,,,,,,,,,,,pi33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N420,S062,not,,,,,,,,,,,,,,,,,,,,,,,,ҫɨ31naːi31,,,,ma2ʔźəu1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N421,S062,not,,,,,,,,,,,,,,,,,,,,,,,,,,,pi1ʔa3,,au1au3,pəi1ʔɛ4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N422,S063,one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nɨŋ6/nɨːŋ6,,,,nəŋ1/niŋ1,,,nəŋ2,,,,,,,,,,,,,,,,,,,,,,lvng,ləŋ2,nɨŋ2,nɨŋ3,nɨŋ4,nɨŋ6,nɨŋ6,ləaŋ5,nɨŋ4,nɨŋ3,nɨŋ3,ləŋ2,lɨŋ1',ləŋ6,nəŋ6,,nüŋ⁵,nɨŋ1,nɨŋ4,nɨŋ1,ləŋ6,nɨŋ6,nəŋ1'
N423,S063,one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deu1,,hau3(provisional),,,,ʔdeu6,dɛu2,naːu3,haːu3,laːu3,ʔdaːu3,laːu3,,dʔɛːu3,,deːu2,,,deːu5,,,,deːu1,,deːu1,deːu1,ʔdeu1,,diau1,,deu1,deːu1,deu1,diau1,deːu1,diau1,diau1,diaw1,diau1,deːu1,deːu1,deu1,diu1,,,diəu2,,,,,,,,diəu11,,,,,,neu²,,,,,,
N424,S063,one,ha4,ha4,,,,,,,,tsɯ2,tsɯ2,kɯ2,tsɯ1,ci13,kɯ2,kɯ2,zi25,tɯ5,ʔɯ3,tsɯ3,tsɯ2,kɯ2,,,,,sɨ4,sɨ55,cɨ3,sɨ4laŋ4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N426,S063,one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N427,S063,one,,,,,,,,,,tshəɰ3,tshəɰ3,,,,,,,,,tshe[y]3,,,ćam45,,am24,ʔam24,,,,,ća33,cam35,ćia33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N428,S063,one,,,,,,,,,,,,,,,,,,,,,,,,pi31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N429,S064,person,liŋ1vɔn2,ləŋ1vɔn2,ziaŋ2ɓɑn2,leŋ2ɓɔn2,lou2vun1,leŋ1hun2,leŋ1hun2,tsoŋ4vɔn2,tshɐŋ1'vɔn2,,,,,,,,,,,,,,,,,wa31kon24,,,,,,khon33,,lan2,lən1,ȡin1,kən2,jən4,ȵən2,jǝn2,ŋjũːn2,ȡin1,zən1,ҫan1,zən1,jan.1,zən1,zən1,jin1,gən3,khɨn2,kɔːn2,hɯn2,hun2,kɨn2,hun2,hon2,gun2,kɔːn2,hun2,hun2,wun2,hun2,wən2,vɯn2,wun2,vun2,wun2,vɯn2,vən2,wɨn2,vɯn2,wən2,hun55,vun2,hun2,wun2,vɯn2,vən2,kun,kun2,khon2,khon2,koːn1,kun2,kun2,kon2,xɔn1,khon2,khon4,ku2,kun2,kon2,kon2,koːn2, kon² ,khon3,,kun4,kun2,kɔn2,kən2
N430,S064,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma1-nut4,,,,,,,,,,,,,,,,ma2nuk5sa5,,,,
N431,S064,person,,,,,,,,,,,,,,,,,,,,,,,,ma0iŋ24,ma0iŋ31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N432,S064,person,,,,,,,,,,(ŋaːw4),ʔaːw1,ʔaːw1,ŋaːw1,ŋaːw1,ʔaːw1,,ŋaː[5],ʔaːw1,ʔaːw1,(ʔaːw1),ɱaːw1,ʔaːw1,,,,,,ɣəu1,,həŋ1,a33fu33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N433,S064,person,,,,,,,,,,,,,,,,ɬay4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N434,S064,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tə0daːu33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N435,S064,person,,,,,,,,,,,,,,,,,,,,,,,na33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N436,S064,person,,,,,,,,,,,,,,,,,,,,,,,,,,,ćhi2,,ka0chu2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N437,S065,rain,fɔn1,fɔn1/fœn1,phɑn1,phɔn1,ŋɔn1,fun1,phun1,fɐn1',fɐn1',foŋ1,fun1,fun1,foŋ1,fən1,(pun1),pɔŋ1,fɛn1,fun1,fun1,foŋ1,fhən1,fun1,,,,,,,,,,,,chan1,fən1,vin1,ljən1,pjən1,pjən1,min1,fen1,vin1,fin1,kwan1,pjen1,hwən1,wən1,fən1,vun2,phən2,phɨn1,phɔːn2,phɯn1,phɯn1,phɨn1/phan1,phan1,phon1,phən2,phan1,phən1',hun1,wun1,hun1,wən1,vɯn1,wun1,vun1,hun1,vɯn1,fən1,wɨn1,vɯn1,wən1,vɨn212,hun1,hun1,fɯn1,vɯn1,vən1,phun,phun1,fon5,fon1,fon3,fun1,fɨn1,fən1,phɔn3,fon1,fon1,fə1,fɨn1,fon1,phon1,fəːn3,phon⁶,khwon1,phon3,fa4fun1,fen1,fɛn1,fən1
N438,S065,rain,,,,,,,,,,,,,,,,,,,,,,,jin31,juːt33,juːt11,juːt53,mei2zau2,,,,mja55,thɛn31ʔzal34,aːu213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N439,S065,rain,,,,,,,,,,,,,,,,,,,,,,,,,,,mei2,min2,man1,məŋ2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N440,S066,red,,,,,,,,,,,gaːn3,,,,,,ŋan3,,gaːn3,,,gaːn3,,luːn11,laːn11,,,le3,,,,,,,lhaːn3,,,,,,,,laːn3,laːn3,,haːn3,haːn3,haːn3,rən4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N441,S066,red,ziŋ1,mat8ziŋ1红土,ziŋ1,ziŋ1,,liŋ1赤红,mat8liŋ1红土,ziŋ1'赤红,ziŋ1',ɗiaŋ3,ɗeːŋ3,ɗeːŋ3,ɗeːŋ3,,ɗeːŋ3,,,ɗeːŋ3,ɗeːŋ3,ɗeːŋ3,ɗiaŋ3,ɗeːŋ3,,,,,,,,,,,,lüːŋ5,,l̥aŋ1,,,,,,l̥aŋ1,,,,,,,,dʔɛːŋ3,deːŋ1,deːŋ2,niŋ1,niŋ1,ʔdeːŋ1,laːŋ4,deŋ1,diã2,diaŋ1,niŋ1',diŋ1,,ʔdiːŋ1,,diŋ1,liŋ1,diŋ1,diŋ1,diŋ1,dəŋ1,diŋ1,dɯŋ1,diŋ1,riːŋ23,dəŋ1,diŋ1,diŋ1,diŋ1,dəŋ1,"neng, ding",nɛŋ2/dɛŋ2,dɛːŋ1,dɛːŋ2,lɛːŋ3,dɛŋ1,lɛŋ1,liaŋ6,lɛːŋ1,dɛːŋ1,si7dɛːŋ2,lɛŋ2,dɛŋ1',lɛŋ6,lɛŋ6,laːń1,naiŋ²,dɛːŋ2,lɛːŋ3,dɛːŋ1,lɛŋ1',lɛŋ1,lɛŋ1'
N442,S066,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ja25,ha5,ja5',ja5',,,,,xa5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N443,S066,red,,,,,,,,,,,,,,,,,,,,,,,ćɛ45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N444,S066,red,,,,,,,,,,,,,,,,thəːu33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N445,S066,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,niaŋ53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N446,S066,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca1de2,,,dət32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N447,S066,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tjo33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N448,S066,red,,,,,,,,,,,,,,,,,,,,,,,,,,tan33ʔdiə53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N449,S067,road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ti6cɔŋ1,,,,,,,caːŋ1,,,,,,,,,daːŋ3,,,,,,,,,,,,,,,,,,,,,,,,thaːŋ55,,,,,,tang,(khun3)taːŋ2,thaːŋ1,hon1taːŋ2,taːŋ1,xun1taːŋ2,taːŋ2,taŋ2,hɔn3taːŋ1,,thaːŋ45,xuɛŋ1taːŋ2,taŋ2,xon1taːŋ2,taŋ2,taːŋ2,tāŋ²,,taːŋ1,taːŋ4,taŋ2,xa1taːŋ2,xun1taːŋ2
N450,S067,road,sɔn1,sɔn1,ɗa3sɔn1,sɔn1,ɬan1,sun1,sun1,sɐn1',ɗa3sɐn1',kuŋ1,kuːn1,kuːn1,kuŋ1,,kuːn1,,kun1,kuːn1,kuːn1,kuŋ1,kun1,kuːn1,khɔŋ33,loŋ11hun24,khun54,qhɔn53,qən4,to4hən1,ta0lan1,kau4kuŋ1,khiN55,hon324va342ʔ,qhon53,,khun1,khun1,kən11,khwən1,khwən11,kǝn1',,khun1,khun1laːu4,khwan1,khun1,khuən1,khwən1,khwən1,khun1,,,,,hlen1,,lün1,,,,hlon1',jon1,,lɔn1,,zuɑn1,jän1,vɑn1,hjvan1,zɔn1,ɕɑn1,ron1,zɑn1,θan1,,sian1,hon1,ɣon1,zɑn1,jɑn1,,(khun3)taːŋ2,hon1,hon1taːŋ2,,xun1taːŋ2,,,hɔn3taːŋ1,,hon1,xuɛŋ1taːŋ2,,xon1taːŋ2,,,,,,,,,xun1taːŋ2
N451,S067,road,,,,,,,,,,,,,,loŋ13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N452,S067,road,,,,,,,,,,,,,,,,tin1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N453,S067,road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tha1-non5<K,,,,,,,tha5non1,tha7non1,,,,,,,non1,,,,,
N454,S068,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tan3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
