cogid,concept_id,concept,BeChengmaiMY,BeChengmaiYL,BeHaikouCL,BeHaikouRS,BeJizhao,BeLinGaoLC,BeLinGaoXY,BeQiongshanLQ,BeQiongshanLT,HlaiBaisha,HlaiBaoding,HlaiBaoting,HlaiChangjiang,HlaiCun,HlaiHeitu,HlaiJiamao,HlaiNadou,HlaiQiandui,HlaiTongza,HlaiXifang,HlaiYuanmen,HlaiZhongsha,KraBuyangBH,KraBuyangEC,KraBuyangLJ,KraBuyangYR,KraGelaoAS,KraGelaoDF,KraGelaoMJ,KraGelaoZF,KraLachi,KraLaha,KraPubiao,KsBiao,KsChadong,KsJin,KsKamJP,KsKamLP,KsKamRJ,KsKamTZ,KsLakkia,KsMak,KsMaonan,KsMulam,KsSuiDS,KsSuiDY,KsSuiLB,KsSuiSD,KsThen,TcCaoBanTai,TcDaxin,TcDebao,TcFusui,TcLongAn,TcLongzhou,TcQinzhou,TcShangsi,TcWenma,TcYanshan,TcYongning,TnDonglan,TnDuAn,TnFengshan,TnHengxian,TnHuishui,TnLianshan,TnLibo,TnLiujiang,TnLuodian,TnPanxian,TnPingguo,TnQianxi,TnQiubei,TnSaek,TnShuicheng,TnTiandong,TnWuming,TnZhenfeng,TnZhenning,TswAhom,TswAiton,TswBangkok,TswChiangmai,TswHsipaw,TswJinghong,TswJinping,TswJinsha,TswKhuen,TswKorat,TswLao,TswLuchun,TswMaguan,TswMangshi,TswMenglian,TswNgheAn,TswPhake,TswSongkhla,TswTaunggyi,TswThaiTrang,TswWuding,TswYuanjiang,TswYuanyang
N455,S068,root,,,,,,,,ziak8,ziak8,,,,,,,,,,,,,,,,,,,,,,,,,jök10,,,,,,,,,,,,,,,,laːk1,laːk10,laːk10,laːk10,hlaːk8,laːk8,laːk10,,le6,lak10,hlaːk10,laːk8,raːk10,,ðaːk10,zaʔ8,jaːk8,rak8,kjaːk10,za6,ja3,raːk10,zak8,θa6,raːk33,za6,laːk10,ɣaːk8,za6,ja6,rak,haːk3,raːk3,haːk4,haːk4mai5,haːk8,ha2,hak3,haːk4,laːk4,haːk4mai4,haɨ2,hak10,haːk8,hak10,haːk5,hāk⁴,laːk4,haːk4,,hak7,haːɨ6,haːk8
N456,S068,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɬaːi1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N457,S068,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sɛn3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N458,S068,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,koːk5,,,
N459,S068,root,,,,,,,,,,,,,,,riːw,,,,,,,giːw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N460,S068,root,,,,,,,,,,,,,khɯːŋ[3],khɯəŋ5,,,khɛŋ2,,,,,,ćaːŋ322,e0θaːŋ24,qa0ҫaːŋ54,ciə53,ҫi4,ʔa1cha1ҫi1,ka0ẓa1,ҫi33ji1,a33će55,caːŋ342ʔ,ćiaŋ53,,,saːŋ1,haŋ11,saŋ1,saːŋ11,,taːŋ6,saːŋ1,saːŋ1,taːŋ1,haːŋ1,haːŋ1,haːŋ1,haːŋ1,thaːŋ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N461,S068,root,,,,,,,,,,,,van1,,,,,,van4,van4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N462,S068,root,na2,na2,na2,na2,,ȵa2,ʑa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N463,S068,root,,,,,,,,,,,key1,,,,,,,,,key1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N464,S068,root,,,,,,,,,,rip8,,,,,,,,,,,rip8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N465,S068,root,,,,,,,,,,,,,,,,taːt55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N466,S069,round,,,,,,,,,,,,,,,,laːw1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N467,S069,round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ta33tɛ55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N468,S069,round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ko33luŋ2,tei2lu1laŋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N469,S069,round,,,,,,,,,,,,,,,,,,,,,,,,,,,źan1,ɨan2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N470,S069,round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ŋün2,luːn1,duːn1,,,,,kjən1,ʔduːn6,ʔdon2,kon60kwaːn2,qu5lu5,,qoən2,qu0lu5,kɔːn2,,,,loːn2,,,,,,,,duːn1,duːn1,ʔduan1,kloːn2,,luːn1,,duːn1,,,,,,,,,luən2,,,ron,,,,,,,,,,,,,,,,,,,,,,
N471,S069,round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ton2,ton2,ton2,twan2,,,,,,tuən2,,,,,,,,,,,,,,,,,,tuːn2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N472,S069,round,,,,,,,,,,,,,,,,,,,,,,,man45,hɛ55mun11,man11,mɔn31,,,,,,mon34ʔ,,,,,,,,,,,,,,,,,,mən3,mɨn2,mɔːn2,,mɯn2,mɨn2,mun2,mon2,mən2,man2,mən2,,,,,,,,,,,mɨn2,,man2,mɔn4,,mɨn2,,,,,,mon2,mon2,moːn1,mun2,,,mɔn1,,mon2,,,mon2,mon2,,mon²,,,,,,
N473,S069,round,,,,,,,,,,[z]om1,hwom1,hum1,kom1,,hom1,,,,gom1,ɣom1,vom1,(hom1),,,,,,,,,,,ləm24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tlum23,,,,,,,,klom1,,,,,,,kom1,klom4,,lɔm3,,,,lɔm⁵,klom2,koːm3,,lɔn4,,lɔm3
N473b,S069,round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bung,,,,,,,,,,,,,,,,,,,,,,
N474,S069,round,vin2,vin2,ɓien2,ɓin2,vin2,vin2,vin2,vin2,vin2,,,,,viːn243,,,,,,,,,,,,,,,,,,,,win4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lue5,,,,luɛ4,,,,,,,,,,,
N475,S069,round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pɔm3,,,,,,,,,pɔːm5,pɔm¹,,,pɔːn6,,pum3,
N476,S069,round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hɔp3,,,,,,,,,,,,,,,,,,,,,
N477,S072,see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l̥ən1/nan1,,,,,,han2,han1,than2,thin1,then1,ŋoːi2han1,thin1,then1,thã2,than1,than1',jiːn1,ran1,lɛn1,ðan1,zɑn1,jan.1,jɑn1,hjan1,zɑn1,ɕɑn1,han1,,θan1,rɛn212,,han1,ɣan1,zɑn1,jɑn1,,han1,hen5,han1,han3,,,lai5hɛan1,han3,hen1,hen1,,hɛn1,,,hen5,han⁶,hen1,han3,hin1,hen2,,
N478,S072,see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tɔŋ2,,,,,,toŋ2,,,,,,,,,,,tɔŋ2
N479,S072,see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thɨm5,
N480,S072,see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lø5,do6,nu5,nu5,nu5,nu5,,djo3,ʔdu6,,,,ⁿdo3,ⁿdɔ3,lo3,,,,,,duː1,,,,,,,,,,,,,,,,,,,,,,,,,"nu, du",,duː1,,,du1,lu1,,,,,,,,,,nū²,,,,,,
N481,S072,see,,,,,,,,,,laːy3,laːy3,laːy3,laːy3,laː(y)3,laːy3,,lay3,laːy6,laːy3,laːy3,luay6,laːy3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N482,S072,see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wei5ten6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N483,S072,see,liu1,liu1,liu1,liu1,,,,liu1hɔu4看见,,loː1,zuːy3,,,,,,zuy3,,ɬuːy6,,loː4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N484,S072,see,,,,,,ɗek8,ɗek8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N485,S072,see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tsiŋ3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N486,S072,see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,le33ta55,,taiʔ33co53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N487,S072,see,,,,,,,,,,,kiw1,,,(ʔiw1),kiw1,,,kiw1,kiw1,,,kiw1,ćaŋ45qaːi32,,qai54han24,,qa4cu3,qha1,qa0lhau2qa,ko1,,kai342ʔ,,,,kau5,,,,,,kau5,kau5,kau5,qɐu5,hõ5,qɐu5,qɔu5,,,,,,,kau4,,,,ŋau4,,kau3,kau3,,,,,,,,,,,,,,kau3,kau3,,,,,,,,,,,,,,,,,,,,,,,,,
N488,S072,see,,,,,,,,,,,,,,,,,,,,,,,,ŋɨ53laːŋ24,,laŋ31than33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N489,S072,see,,,,,hɔŋ3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N490,S072,see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jem3/toi2,,,,,,,,,
N491,S073,seed,vɔn2,vɔn2,ɓien2,mɔk8ɓɔn,ɓɔn3,vɔn2,vɔn2,vɔn2,vɔn2,faŋ1,fan1,fan1,faŋ1,fon1,phen1,tshan1,fan1,fan1,fan1,faŋ1,fan1,fan1,pi322ɣo322,,pan54,pan53,pai4,,pei1,,pjɔ43,năm342ʔpɛ34,pan53,,kok7pən3,van1,,,wan2/pan1,,,van1,pu4van1,pan1,van1,pən3,wɐn1,vɐn1,van2,vɛ1van3,fan2,fan2,phan1,phan1,fan2,phan1,phan1,vã2,fan2,phan1',hon1,,hɔn1,,vɑn1,,van1,wan1,vɑn1,fan1,fan2,vɑn1,wan1,van2,fian1,fan2,,vɑn1,vɑn1,"phan, phran",,phan2,,phan1,fan2,fan2,fɛan2,,,phan2,fɛ2,fan2,fan2,phân2,, phan²,,phan1,,fân2,fɛn2,fan2
N492,S073,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pit9/wat8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N493,S073,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mlɛk33,,,,,,,,ma1-let4,met6,,,,,,met4,,,,,,,mit⁴,mɛt9,,,,,
N494,S073,seed,,,,,,,,,,,,,,,,,,,,,,,,θe24,,,,ҫɨ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ҫe6,,tɕi6,,θœ3,,,,,,,,,,,ɕe6,,,,,,,cə5,,,,cə5,,,,,,,,,,cə5,,,,
N495,S073,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kɛːn3phak7,,,,,kɛːn1nɛːu2,,,,kɛːn4,,,
N496,S073,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,phak7,,,,,phak1,phak5,phak7,,,,,,,,,,,,
N497,S074,sit,,,,,,,,,,,,,,,,,,,,,,,,,,,,ҫuai3,,,,,,,zü6,zui6,hui5,sui1,sui5,sui5,,zəi6,zuːi6,tui6,lui5,hui⁶,hui⁶,hoi⁶,thoi6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N498,S074,sit,,,,,naŋ4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,naŋ6,,,,,,,niŋ5,,,,,,,,,naŋ1,naŋ6,naŋ6,naŋ6,naŋ6,naŋ6,naŋ6,naŋ6,nɛ̃6,naŋ6,naŋ6,laŋ6,naŋ6,naŋ6,naŋ6,zɑŋ6,naŋ6,nɑŋ6,naŋ6,nɑŋ6,jɑŋ6,naŋ6,zɑŋ6,naŋ6,naŋ53,nɑŋ5,naŋ6,naŋ6,nɑŋ6,nɑŋ6,nang,naŋ2,naŋ3,naŋ4,naŋ4,naŋ6,naŋ6,naŋ5,naŋ4,naŋ4,naŋ3,naŋ4,naŋ3,laŋ6,nâŋ6,naŋ5,naŋ⁵,naŋ4,naŋ4,naŋ1,nâŋ6,naŋ6,naŋ3
N499,S074,sit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kau3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N500,S074,sit,ŋou1,ŋou1,ŋou1,ŋou1,,ŋo1,ŋɔu1,mu1,mu1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N501,S074,sit,,,,,,,,,,tsɔŋ[1],tsoŋ3,tsɔŋ3,tsuaŋ3,tsom5,(tsuŋ3),tsiəŋ,tsaŋ3,tsoŋ3,tsoŋ3,tsɔŋ3,tɔŋ3,tsuŋ3,,tu32,qa0tu24,ka0ta33,,,,,,,taŋ213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N502,S074,sit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a33tju35,tut32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N503,S074,sit,,,,,,,,,,,,,,,,,,,,,,,Gai33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N504,S074,sit,,,,,,,,,,,,,,,,,,,,,,,,,,,ca1,,,co33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N505,S075,skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ȡa1,ʔa45,,,ka1,,ȡa1,,ŋɣa2,,,ʁa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N506,S075,skin,naŋ1,naŋ1,nɑŋ1,naŋ1,naːŋ1,naŋ1,naŋ1,nɐŋ1',nɐŋ1',nuaŋ1,noːŋ1,nɔːŋ1,noːŋ1,naŋ1,naŋ1,naː1,nɔŋ1,nɔːŋ4,noːŋ1,noːŋ1,nuaŋ4,noːŋ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,naŋ2,naŋ1,naŋ1,naŋ1,naŋ1,naŋ1,naŋ1,naŋ1,nɛ̃1,naŋ1,naŋ1,naŋ1,naŋ1,naŋ1,naŋ1,nɑŋ1,naŋ1,nɑŋ1,naŋ1,nɑŋ1,nɑŋ1,naŋ1,nɑŋ1,naŋ1,naŋ212,nɑŋ1,naŋ1,naŋ1,nɑŋ1,nɑŋ1,,naŋ1,naŋ5,naŋ1,naŋ3,naŋ1,naŋ1,naŋ5,naŋ3,naŋ1,naŋ1,naŋ1,naŋ1,laŋ1,nâŋ1,naŋ1,naŋ⁶,naŋ1,naŋ3,naŋ1,nâŋ1,naŋ1,naŋ1
N506b,S075,skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pvk,,,,,,,,,,,,,,,,,,,,,,
N507,S075,skin,,,,,,,,,,,,,,,,,,,,,,,,,,,qa3,pa1ho3,po0qu2,pu1ka4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N508,S075,skin,,,,,,,,,,,,,,,,,,,,,,,,he0ʔbuŋ24,qa0ʔbuŋ54,ʔbɔŋ53,,,,,,,boŋ53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N509,S075,skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a33tu55,ta342ʔ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N510,S075,skin,,,,,,,,,,,,,,,,,,,,,,,ðan31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N511,S076,sleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nun2,,,nun2,,,nun2,nuːn2,nan2,nun2,nuən2,nʉn2,nun2,nun2,nɔːn3,noːn2,noːn2,nin2,nin2,noːn2,nün2,nøːn2,nuã2,noːn2,nən2,nɨn2,nin2,nin2,nən2,nɯn2,nen2,nin2,nin2,nin2,nən2,nin2,nɯn2,nən2,nuːn55dak55,ȵi2,nin2,nin2,nin2,nən2,non,nɔn2,nɔːn1lap2,,nɔːn1,nɔn2,nɔn2,nuen2,nɔːn1lap1,nɔːn2lap5,nɔːn3lap6,nuɛ2,nɔn2,lɔn2,nɔn2,nɔːn2,nɔn²,nɔːn3lap8,nɔːn1lap1,nɔn4,nɔn2,nɨn2,nɔn2
N512,S076,sleep,lap7,lap7躺,lɑp7,lap7,ŋɐp10(provisional),lap7,lap7,lap7',lap7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lap2,lap7,,,,,lap1,lap5,lap6,,,,,,,lap8,lap1,,,,
N513,S076,sleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nhjak7,,laʔ25,n̥ak7/9,,naʔ5',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nak,,,,,,,,,,,,,,,,nak¹,,,,,,
N514,S076,sleep,,suan1睡,,,,,,,,tsuaŋ1,tsoːn1,tsɔːn1,tsoːŋ1,tsan1,(tsoːn1),,tsɔn1,tsɔːn1,tsoːn1,tsoːŋ1,tuːn1,tsoːn1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N515,S076,sleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hep7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N516,S076,sleep,,,,,,,,,,kaw2,kaw2,kɔː2,kaw2,kaː5,ŋow2,ŋɔː4,kaw2,khoː2,kaw2,kaw2,kaw2,kaw2,ŋu11,,,,ŋka1ŋku3,ŋe3hau3,ŋu2,ŋau4ku4,ńi35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N517,S076,sleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,han2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N518,S076,sleep,,,,,,,,,,,,,,,,,,,,,,,,u55,u11/qu11,a33,,,,,,ʔo32,au213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N519,S077,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuai33,,,,,,,,,,,,,,,,,,,,,,noːj3,,,,,,,,,,,,,,,,,,,nɔːj33,,,,,,noi,nɔi3,nɔːj4/nɔj2,nɔːi6,,nɔi4,nɔi4,,nɔːi5,,nɔːi4,nâi4,nɔi4,,,nɔːi4,nɔi⁴,,,nɔːi4,,,
N520,S077,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lek4,,lek5,,,,,lek4,,,,,,,,,lek5,,,,
N521,S077,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ʔɛːŋ3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N522,S077,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ʔi1,ʔi5,,,ʔi3,ʔi5,,ʔe4,,,ʔei5,,,,,,,,,ʔi5,,,,,ʔi3,ʔi5,,,,,,,,,,,,,,,,,,,,,,,,,ʔe3
N523,S077,small,,,,,,,,ni5,,,,,,,,,,,,,,,,,,,,,,,,,,,ȵ̥ai3,,ni5,,ni5,ni5,jei4,,ʔni5,,,,,,ȶai4,,,,,,,,,nei3,,,,,nai3/nai5,ni5,,,,nɛ3,,,,,ni3,,,,,,,,,,,,,,ńi2,,,,,,,,,,,,,ńe5,,
N524,S077,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,njɪŋ3,,,,,,niŋ5,,,,,,,,,,,,,,,,,ʔniŋ5,,,,,niŋ5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N525,S077,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ʔuːn5,,,,,,,,,,,,,,,,,,,ʔɛn1,ʔɔn5,,,,,,,,
N526,S077,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hiːt8,,,,,
N527,S077,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ti5,təi3,,,,,,təi3,,,ti3,ti3,ti3,ti3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N528,S077,small,niʔ7,nɛʔ8细/niʔ7小,niʔ7,niʔ7,nak8,nɔk7,nɔk7,,neʔ7/niʔ7,,,,,,,nit55,,,,,,,,,,,,,,,,,,ńik7,,,,,,,,,,,,,,,,,,,,,,nit9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N529,S077,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kjai3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N530,S077,small,,,,,,,,,,,ʔeɲ2,,,,,,,,,ʔin2,,ʔin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N531,S077,small,,,,,,,,,,tɔk8,,tɔk8,,,tik[9],təːk8,,thoʔ8,tok8,tɔk7,tɔk8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N532,S077,small,,,,,,,,,,,,,,vɔːi42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N533,S077,small,,,,,,,,,,,,,,,,,,,,,,,i45,it55,ɛŋ24,at33,,,,,i11,ʔɔi324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N534,S077,small,,,,,,,,,,,,,,,,,,,,,,,,,,,ńa2,ntja1,dai3dai3,tjaŋ1tjaŋ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
