#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:tree" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:tree" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:tree" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.kd-lngs_pruned_filtered" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:tree" name="distribution" x="@BDBirthRate.t:tree">
#            <Uniform id="Uniform.3" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:tree" name="distribution" x="@BDDeathRate.t:tree">
#            <Uniform id="Uniform.4" name="distr"/>
#        </prior>
#        <prior id="bcov_alpha_prior.s:kd-lngs_pruned_filtered" name="distribution">
#            <parameter id="bcov_alpha.s:kd-lngs_pruned_filtered" lower="1.0E-4" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="bcov_s_prior.s:kd-lngs_pruned_filtered" name="distribution">
#            <parameter id="bcov_s.s:kd-lngs_pruned_filtered" lower="1.0E-4" name="x" spec="beast.core.parameter.RealParameter" upper="Infinity">0.5</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter" upper="0.0">0.05</parameter>
#                <parameter id="RealParameter.1" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter" upper="0.0">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="Li.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="Li" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="HlaiBaisha" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="HlaiQiandui" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="HlaiXifang" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="HlaiZhongsha" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.26" lower="0.5" name="distr" upper="1.5"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.kd-lngs_pruned_filtered" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree" useAmbiguities="true">
#            <data ascertained="true" data="@kd-lngs_pruned_filtered" excludeto="1" filter="-" id="orgdata.kd-lngs_pruned_filtered" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="TwoStateCovarion.0" spec="beast.evolution.datatype.TwoStateCovarion"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="SiteModel.s:kd-lngs_pruned_filtered" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:kd-lngs_pruned_filtered" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:kd-lngs_pruned_filtered" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:kd-lngs_pruned_filtered" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel alpha="@bcov_alpha.s:kd-lngs_pruned_filtered" id="covarion" spec="beast.evolution.substitutionmodel.BinaryCovarion" switchRate="@bcov_s.s:kd-lngs_pruned_filtered">
#                    <parameter dimension="2" id="frequencies.s:kd-lngs_pruned_filtered" lower="0.0" name="vfrequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                    <parameter dimension="2" estimate="false" id="hiddenfrequencies.s:kd-lngs_pruned_filtered" lower="0.0" name="hfrequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                    <frequencies data="@kd-lngs_pruned_filtered" estimate="false" id="dummyfrequencies.s:kd-lngs_pruned_filtered" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#    <distribution id="fossilCalibrations" spec="beast.core.util.CompoundDistribution"/>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.kd-lngs_pruned_filtered	TreeHeight.t:tree	mutationRate.s:kd-lngs_pruned_filtered	bcov_alpha.s:kd-lngs_pruned_filtered	bcov_s.s:kd-lngs_pruned_filtered	frequencies.s:kd-lngs_pruned_filtered.1	frequencies.s:kd-lngs_pruned_filtered.2	BirthDeath.t:tree	BDBirthRate.t:tree	BDDeathRate.t:tree	logP(mrca(Li))	mrca.age(Li)	clockRate.c:clock
200000	-1708.761381811629	-1670.6079730951813	-38.15340871644768	-1670.6079730951813	7.60109729363406	1.0	0.08155898732564718	0.4082629170166387	0.6323798807312153	0.3676201192687839	-28.97187040234403	0.31076397449612164	0.6440164430405309	0.0	0.8954965991879014	0.08034410721304557
210000	-1706.2818248210938	-1662.133031096279	-44.148793724814816	-1662.133031096279	11.279989956525656	1.0	0.0021689092911998057	0.6105285842591973	0.6561110365767664	0.34388896342323305	-34.564735788896186	0.27852495591616416	0.18976811713260613	0.0	0.865588672934386	0.06422905973511506
220000	-1705.720537426908	-1666.5025564096331	-39.21798101727501	-1666.5025564096331	8.262307155978478	1.0	0.025431871711718942	0.42049572815084313	0.6582841209229818	0.3417158790770176	-30.007172620442688	0.3281117801053071	0.36242885424339644	0.0	0.6566067553173636	0.08850208255539913
230000	-1716.3550131451998	-1665.287317990169	-51.06769515503087	-1665.287317990169	15.794418047027634	1.0	0.02166211540256146	0.29660939381636087	0.6774126423928284	0.3225873576071718	-42.20084270017309	0.3186402888950795	0.15067869029360292	0.0	1.1799016962027873	0.04141022319536477
240000	-1710.1264782972044	-1669.608319975377	-40.518158321827194	-1669.608319975377	9.10068949893609	1.0	0.04802249785863282	0.6871329605517136	0.6590269731935466	0.3409730268064534	-30.814147385275067	0.30037753590622013	0.5616069041380404	0.0	0.8966932396710992	0.07006219137121644
250000	-1703.5090343120933	-1665.5950334726808	-37.914000839412374	-1665.5950334726808	11.413417234170822	1.0	0.011366789020350272	0.23572024841817554	0.6565037757259877	0.3434962242740125	-29.27151916677306	0.26838935788395946	0.681901272705254	0.0	0.5818498454806356	0.09668132479330958
260000	-1715.7906505886674	-1670.648228287015	-45.14242230165256	-1670.648228287015	15.447380254221546	1.0	0.02197593525758323	0.2815317662273579	0.6668803943670489	0.33311960563295123	-36.32663988226241	0.22629276426225572	0.4993068584074636	0.0	1.2562948508244944	0.06578910177248526
270000	-1699.933023714676	-1661.223240242012	-38.70978347266392	-1661.223240242012	7.568748424333532	1.0	0.012632469347290036	0.5081861742177898	0.6717272966379688	0.32827270336203135	-29.310263163727544	0.1845087924036909	0.6694176337084092	0.0	0.7583059418288243	0.07572136101243003
280000	-1703.0762285915494	-1663.8782675374052	-39.19796105414415	-1663.8782675374052	7.561315479162226	1.0	0.015535318610726665	0.47251835195353986	0.6450840727998254	0.35491592720017473	-29.871140242320045	0.28945642787414155	0.43331852187475356	0.0	0.6949822058706185	0.07153171938692812
290000	-1711.6506892597065	-1666.8375489434586	-44.81314031624792	-1666.8375489434586	12.461260430679852	1.0	0.028109862703173956	0.471940497764373	0.6662571873867872	0.33374281261321165	-35.487539778919675	0.1022076890146431	0.8209572935945595	0.0	1.3376938441039037	0.05085564952494756
300000	-1696.3391124222012	-1667.2936608094224	-29.045451612778756	-1667.2936608094224	5.413846898377223	1.0	0.011202214203881086	0.5454873995681897	0.629864133029048	0.3701358669709507	-19.57491093233878	0.5014305184266137	0.5099435809639269	0.0	0.5011289570954816	0.14571935604763533
310000	-1703.7749547498204	-1673.1366952557305	-30.638259494089784	-1673.1366952557305	5.040839403997408	1.0	0.03815029093213815	0.4477065012656022	0.6211277920463015	0.37887220795369714	-21.365161632024382	0.5439474325335265	0.4575870455522689	0.0	0.5048675318740291	0.1274569646594532
320000	-1696.6823137760223	-1665.652519160884	-31.029794615138393	-1665.652519160884	7.271324031766648	1.0	0.0034515044922667193	0.26687363008917475	0.6567192477322507	0.3432807522677495	-22.266274544205256	0.49244054793639097	0.5267055988738849	0.0	0.5581303320268444	0.14974588413806578
330000	-1696.6305618135493	-1665.1496318627126	-31.480929950836735	-1665.1496318627126	6.120249667907325	1.0	4.6764188447035295E-4	0.36981039689012246	0.6540474369351514	0.3459525630648487	-22.397211779712002	0.5452988376327917	0.21387910467140012	0.0	0.5005217289752095	0.15296607119852007
340000	-1696.1350684764466	-1661.3347808137553	-34.80028766269119	-1661.3347808137553	6.672262383126016	1.0	0.015896049821802673	0.39773215440585846	0.6477757026128057	0.35222429738719446	-25.64462836773995	0.4824936852873919	0.5156359738715549	0.0	0.5309216093452455	0.10752805353021869
350000	-1702.8069048728835	-1666.777394662305	-36.029510210578614	-1666.777394662305	5.854862070304288	1.0	0.02122931267714885	0.37522281552764475	0.6314465030216839	0.36855349697831463	-26.931447686329374	0.7657534257394645	0.21720231769337953	0.0	0.7044999404162391	0.1044997961080904
360000	-1697.6891364734793	-1669.3175733073167	-28.371563166162616	-1669.3175733073167	3.9717728125169325	1.0	0.0456731463392659	0.5759499568213742	0.6547233435840998	0.34527665641589883	-18.84635221324698	0.5842051263768393	0.6017826392475407	0.0	0.5160291320184807	0.14308113941890757
370000	-1697.702848491222	-1668.0548762146188	-29.647972276603344	-1668.0548762146188	6.08867129727012	1.0	0.04625404328199025	0.47637744112607217	0.656323672233957	0.34367632776604146	-20.313038353458246	0.19979262434884135	0.8505069696486102	0.0	0.5394310207352527	0.11887715938086652
380000	-1704.3414976305564	-1668.1448213600183	-36.196676270538035	-1668.1448213600183	7.3327239630239465	1.0	0.05020952800804598	0.29793548451132174	0.6764904340337534	0.3235095659662449	-27.325453382704744	0.6589590040576092	0.15470828905644146	0.0	0.7041406148355671	0.11696773477364925
390000	-1702.9639771265151	-1670.7723748814358	-32.19160224507936	-1670.7723748814358	5.814005943999402	1.0	0.02974729893465115	0.31208350491947734	0.6482911686363229	0.3517088313636772	-23.27489041876356	0.6657814726442517	0.20485349571205996	0.0	0.5947215095195538	0.10881553265162268
400000	-1693.8474996624723	-1665.9714795924306	-27.876020070041605	-1665.9714795924306	5.431578838576126	1.0	0.033537268018956	0.20585569489884703	0.6517425967519191	0.34825740324808074	-19.36522163843918	0.3631133170562881	0.7646180307789507	0.0	0.5049211908659837	0.18750170849190143
