#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:tree" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:tree" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:tree" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.kd-lngs_pruned_filtered" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:tree" name="distribution" x="@BDBirthRate.t:tree">
#            <Uniform id="Uniform.3" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:tree" name="distribution" x="@BDDeathRate.t:tree">
#            <Uniform id="Uniform.4" name="distr"/>
#        </prior>
#        <prior id="bcov_alpha_prior.s:kd-lngs_pruned_filtered" name="distribution">
#            <parameter id="bcov_alpha.s:kd-lngs_pruned_filtered" lower="1.0E-4" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="bcov_s_prior.s:kd-lngs_pruned_filtered" name="distribution">
#            <parameter id="bcov_s.s:kd-lngs_pruned_filtered" lower="1.0E-4" name="x" spec="beast.core.parameter.RealParameter" upper="10.0">0.5</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter" upper="0.0">0.05</parameter>
#                <parameter id="RealParameter.1" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter" upper="0.0">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="10.0">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="Li.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="Li" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="HlaiBaisha" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="HlaiQiandui" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="HlaiXifang" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="HlaiZhongsha" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.26" lower="0.5" name="distr" upper="1.5"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.kd-lg-elaged-filtered" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree" useAmbiguities="true">
#            <data ascertained="true" data="@kd-lngs_pruned_filtered" excludeto="1" filter="-" id="orgdata.kd-lngs_pruned_filtered" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="TwoStateCovarion.0" spec="beast.evolution.datatype.TwoStateCovarion"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="SiteModel.s:kd-lngs_pruned_filtered" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:kd-lngs_pruned_filtered" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:kd-lngs_pruned_filtered" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:kd-lngs_pruned_filtered" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel alpha="@bcov_alpha.s:kd-lngs_pruned_filtered" id="covarion" spec="beast.evolution.substitutionmodel.BinaryCovarion" switchRate="@bcov_s.s:kd-lngs_pruned_filtered">
#                    <parameter dimension="2" id="frequencies.s:kd-lngs_pruned_filtered" lower="0.0" name="vfrequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                    <parameter dimension="2" estimate="false" id="hiddenfrequencies.s:kd-lngs_pruned_filtered" lower="0.0" name="hfrequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                    <frequencies data="@kd-lngs_pruned_filtered" estimate="false" id="dummyfrequencies.s:kd-lngs_pruned_filtered" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#    <distribution id="fossilCalibrations" spec="beast.core.util.CompoundDistribution"/>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood.kd-lngs_pruned_filtered	TreeHeight.t:tree	mutationRate.s:kd-lngs_pruned_filtered	bcov_alpha.s:kd-lngs_pruned_filtered	bcov_s.s:kd-lngs_pruned_filtered	frequencies.s:kd-lngs_pruned_filtered.1	frequencies.s:kd-lngs_pruned_filtered.2	BirthDeath.t:tree	BDBirthRate.t:tree	BDDeathRate.t:tree	logP(mrca(Li))	mrca.age(Li)	clockRate.c:clock
0	-3434.2989560784063	-3464.8908298031442	-3434.2989560784063	-30.59187372473814	NaN	2.541650328105474	1.0	0.7184950005603469	8.783339558336886	0.45563461903878727	0.5443653809612125	-17.657562173925218	0.4306284525505724	0.5525397179809188	0.0	0.5101762676038071	8.684298344808738
1	-3240.886979428536	-3268.9280599582953	-3240.8869794285365	-28.041080529758993	NaN	3.309457596798964	1.0	0.4550587458881627	0.7821352925158138	0.4465637084499383	0.5534362915500618	-18.2045444336392	0.6009510330564054	0.755759772896854	0.0	0.7383645888393593	1.8559006676356768
2	-3177.879058614525	-3206.240085885476	-3177.879058614525	-28.36102727095107	NaN	2.59884342849931	1.0	0.9415145942102191	0.39615472845890715	0.5458364718499755	0.4541635281500246	-19.209300958251628	1.151133984674376	0.09736613217034003	0.0	0.6545210573853968	8.324984561327188
3	-3088.195958002547	-3107.6432694799028	-3088.1959580025846	-19.44731147731811	NaN	1.9180506216424378	1.0	0.6070398082516725	2.1137553264686293	0.4408058966614924	0.5591941033385075	-8.533129375903089	1.6209918332151463	0.44248426725559076	0.0	0.7380121109045981	0.25922878007670247
4	-3054.362866849848	-3091.4946720052044	-3054.3628668498495	-37.13180515535507	NaN	4.835721340339214	1.0	0.4870612278704922	2.471762281547608	0.4509438842971744	0.5490561157028258	-26.033180390495318	0.44421940285929046	0.2411184215653959	0.0	1.3416161175760486	1.0713974212440183
5	-3032.7643540851404	-3041.7957739574736	-3032.7643540851413	-9.031419872332371	NaN	0.9797938434226872	1.0	0.8822012990307774	5.126802507490226	0.5168601415292108	0.4831398584707891	3.025782176469839	1.2724454742048936	0.6973595246970048	0.0	0.5088763925806136	9.203013477949627
6	-3012.794792474048	-3024.1143443052483	-3012.794792474049	-11.31955183119955	NaN	1.0057169466097338	1.0	0.42071374805454276	1.0670470034320683	0.47856031058755044	0.5214396894124497	-1.159433124037121	2.8548693056690477	0.10066223368284598	0.0	0.7653038234118641	4.099508918100131
7	-3008.5820081429038	-3024.179878624104	-3008.5820081429038	-15.597870481200111	NaN	0.9201203133232472	1.0	0.7254528674167754	5.7036630001651805	0.5322349175759147	0.4677650824240853	-3.381687276453322	4.172497610153901	0.07600704315102744	0.0	0.5418840396977195	5.282872066130661
8	-2623.0206960730607	-2633.46626486672	-2623.0206960730607	-10.445568793659099	NaN	0.8516155124919823	1.0	0.9422437681727018	5.354764562787921	0.4162565452041547	0.5837434547958449	1.675758797517151	2.7034994053824883	0.3958450543823893	0.0	0.5350751010813162	1.3967352650990075
9	-2596.8529098309423	-2621.440531402889	-2596.85290983094	-24.587621571949075	NaN	2.4614803990752954	1.0	0.5819255763633516	2.6631350418468887	0.45777999434028316	0.5422200056597167	-13.399015517913615	0.5017573500077227	0.689988134971999	0.0	0.9839597829379423	0.2783775948986177
10	-2567.5547719670785	-2595.0834110232217	-2567.554771967079	-27.528639056142723	NaN	2.102435008966586	1.0	0.37664293477170513	4.3029838329455465	0.4151411554233599	0.5848588445766396	-15.72023367630855	0.1970477911594981	0.8489936354893576	0.0	0.7567213049811972	0.35877011712293366
11	-2473.3357027445318	-2487.657624164164	-2473.335702744531	-14.321921419633366	NaN	1.1006568942196873	1.0	0.9555576241787794	8.058941443867035	0.4310224825056477	0.568977517494352	-1.5418204378467784	1.8689068569672715	0.38648786830129256	0.0	0.5637887056926634	0.30775620087370403
12	-2456.5721305812062	-2477.7888586657104	-2456.5721305812062	-21.21672808450418	NaN	0.978437207819621	1.0	0.5984527530028712	3.731887072687519	0.4710969949885932	0.5289030050114067	-9.600707320385364	1.742587357848734	0.426608727085553	0.0	0.8867868838241209	0.5743627934368392
13	-2423.791114687794	-2446.7582803521677	-2423.791114687794	-22.967165664373436	NaN	1.1084639986203502	1.0	0.7493028096558514	4.932362370800096	0.46970351545373595	0.5302964845462641	-10.966138539408623	1.0650560329658032	0.0679057616213023	0.0	0.5825150390033041	0.40662443157174305
14	-2420.2507173656627	-2456.3000227534385	-2420.2507173656622	-36.04930538777634	NaN	3.7113529751349024	1.0	0.6436504905061524	0.9976372266811558	0.4191969852011388	0.580803014798861	-25.960025221043455	0.36860496311433166	0.6547964952416987	0.0	1.1323347207366226	0.06804788090048156
15	-2409.189225572957	-2436.52837679552	-2409.1892255729576	-27.339151222562663	NaN	2.5937961683566737	1.0	0.8939547616099648	1.8617816567009242	0.44382503302042015	0.5561749669795798	-16.570752108471282	0.35426478104449366	0.7780570616102312	0.0	0.6268371368482661	0.3754329368565929
16	-2403.7188328449506	-2423.423375382968	-2403.7188328449524	-19.70454253801558	NaN	1.520653769473141	1.0	0.6117763350494023	3.151971531874286	0.4301474666345704	0.5698525333654298	-8.30695491696496	1.4535449208659705	0.14309840232063648	0.0	0.5668627467527744	0.07232844844340736
17	-2393.9950781042926	-2414.9237332960674	-2393.9950781042903	-20.928655191776947	NaN	1.8890968990093802	1.0	0.6488905805474825	0.7069899490288258	0.4711355880178437	0.5288644119821567	-11.195594350266035	1.3894632341488842	0.23524122333293904	0.0	1.1791196432451014	0.25674657643465415
18	-2328.339167195413	-2341.6478706538587	-2328.3391671954128	-13.30870345844579	NaN	0.9175653250778701	1.0	0.8736968671240314	0.7243516955582422	0.43604016289980535	0.5639598371001948	-3.5508588795440614	1.6042757676502204	0.41251633123688763	0.0	0.5315371210473069	0.2864156507563674
