#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:tree" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:tree" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:tree" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.kd-merged_filtered" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:tree" name="distribution" x="@BDBirthRate.t:tree">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:tree" name="distribution" x="@BDDeathRate.t:tree">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="bcov_alpha_prior.s:kd-merged_filtered" name="distribution">
#            <parameter id="bcov_alpha.s:kd-merged_filtered" lower="1.0E-4" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="bcov_s_prior.s:kd-merged_filtered" name="distribution">
#            <parameter id="bcov_s.s:kd-merged_filtered" lower="1.0E-4" name="x" spec="beast.core.parameter.RealParameter" upper="Infinity">0.5</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter" upper="0.0">0.05</parameter>
#                <parameter id="RealParameter.1" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter" upper="0.0">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="Li.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="Li" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="HlaiBaisha" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="HlaiQiandui" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="HlaiXifang" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="HlaiZhongsha" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.6" lower="0.5" name="distr" upper="1.5"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.kd-merged_filtered" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree" useAmbiguities="true">
#            <data ascertained="true" data="@kd-merged_filtered" excludeto="1" filter="-" id="orgdata.kd-merged_filtered" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="TwoStateCovarion.0" spec="beast.evolution.datatype.TwoStateCovarion"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="SiteModel.s:kd-merged_filtered" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:kd-merged_filtered" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:kd-merged_filtered" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:kd-merged_filtered" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel alpha="@bcov_alpha.s:kd-merged_filtered" id="covarion" spec="beast.evolution.substitutionmodel.BinaryCovarion" switchRate="@bcov_s.s:kd-merged_filtered">
#                    <parameter dimension="2" id="frequencies.s:kd-merged_filtered" lower="0.0" name="vfrequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                    <parameter dimension="2" estimate="false" id="hiddenfrequencies.s:kd-merged_filtered" lower="0.0" name="hfrequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                    <frequencies data="@kd-merged_filtered" estimate="false" id="dummyfrequencies.s:kd-merged_filtered" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#    <distribution id="fossilCalibrations" spec="beast.core.util.CompoundDistribution"/>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.kd-merged_filtered	TreeHeight.t:tree	mutationRate.s:kd-merged_filtered	bcov_alpha.s:kd-merged_filtered	bcov_s.s:kd-merged_filtered	frequencies.s:kd-merged_filtered.1	frequencies.s:kd-merged_filtered.2	BirthDeath.t:tree	BDBirthRate.t:tree	BDDeathRate.t:tree	logP(mrca(Li))	mrca.age(Li)	clockRate.c:clock
190000	-3197.4428524300183	-3151.0111686933733	-46.43168373664499	-3151.0111686933733	13.573947719285162	1.0	0.0078651074864167	0.27631431191370454	0.6954305445880475	0.3045694554119524	-37.63419400821033	0.11178547223606904	0.5529049736337012	0.0	0.5702845921237673	0.08119571808770346
200000	-3197.681644855963	-3154.3642810259844	-43.317363829978376	-3154.3642810259844	10.440184257187747	1.0	0.01059657610046053	0.32383472267119556	0.6911271627530507	0.30887283724694875	-34.36436253115512	0.33146671704435193	0.3415196704904772	0.0	0.6339496257786983	0.09536110653723914
210000	-3197.7527241513676	-3154.6840262477594	-43.06869790360827	-3154.6840262477594	12.095862013329757	1.0	0.002497037739300378	0.3937003372168508	0.6802614728260401	0.31973852717395945	-33.9231210984783	0.11786475166767763	0.7705323531714099	0.0	0.5281410191231993	0.09083874565985822
220000	-3201.2324831069295	-3155.9135705484437	-45.31891255848599	-3155.9135705484437	13.870104566871957	1.0	5.648489855923867E-4	0.3116767387819413	0.7103425401286453	0.2896574598713544	-36.40348043576375	0.20286086327635772	0.827362271223244	0.0	0.5613276462146504	0.10150594512261657
230000	-3197.5936583789203	-3154.8337871642793	-42.75987121464094	-3154.8337871642793	10.321583674603087	1.0	0.026740550755320374	0.3840979969794264	0.6809974573630271	0.3190025426369726	-33.63871236082042	0.5280413733430771	0.19672815787792944	0.0	0.5862595589234155	0.09569381258384346
240000	-3195.2970011883317	-3152.081828096081	-43.2151730922504	-3152.081828096081	12.029199046756448	1.0	0.02717695857878432	0.3211190591324963	0.6952052712739756	0.3047947287260241	-34.270443609353364	0.11510408699356164	0.7328452422082056	0.0	0.6269042636270791	0.09251878647146856
250000	-3203.0573573931642	-3157.8537573261046	-45.2036000670598	-3157.8537573261046	13.883618293467494	1.0	0.03271390872646297	0.4438201558974534	0.7015247507947363	0.29847524920526336	-35.939173377033484	0.2928712625043349	0.11070399534498017	0.0	0.5849528362268472	0.08700810542589721
260000	-3197.991231938756	-3153.0549253108543	-44.936306627901594	-3153.0549253108543	13.403281398381427	1.0	0.04445978990127338	0.30346666312279	0.6913408420668193	0.3086591579331802	-36.04705556706409	0.2790114932672258	0.6821106265623275	0.0	0.5650524492142842	0.0924784506587209
270000	-3207.237732877872	-3159.8975306477137	-47.3402022301585	-3159.8975306477137	26.4415671602739	1.0	0.003840999680058166	0.23925847674577583	0.6954809547594963	0.3045190452405032	-38.683212925643595	0.11749845886781861	0.782017529487714	0.0	0.6185760269006214	0.10789267952868768
280000	-3213.6376557714602	-3156.619986855171	-57.017668916289075	-3156.619986855171	25.663243504442374	1.0	0.0376105752127177	0.2770928997057653	0.6957994567215209	0.30420054327847856	-48.21742822010609	0.10351820769731129	0.36121648196082196	0.0	1.397558918689127	0.043523811892478365
290000	-3200.2417282469437	-3160.166207604603	-40.07552064234051	-3160.166207604603	10.678931922672952	1.0	0.010474916048270942	0.27935960319203146	0.6736759159310458	0.32632408406895386	-31.267313602750136	0.37499528011245076	0.4759910308517499	0.0	0.5230726695087571	0.13002531152546373
300000	-3201.599024566749	-3160.71593321818	-40.88309134856893	-3160.71593321818	9.128855569096503	1.0	0.051991851410307835	0.3787177733813027	0.6963629830489194	0.30363701695108025	-31.775871648479878	0.3049144074488635	0.4520721963690032	0.0	0.6125384305612132	0.09187329555840079
310000	-3202.504557489845	-3158.6586241673076	-43.84593332253731	-3158.6586241673076	11.598725953712911	1.0	0.016707913145016542	0.2969378592830216	0.6963629830489194	0.30363701695108025	-34.977996572495705	0.07779983246225303	0.8401570689622272	0.0	0.7438223743326093	0.08946976988370088
320000	-3211.4732957371407	-3166.9312181386554	-44.54207759848532	-3166.9312181386554	10.439910477595756	1.0	0.04449663061311175	0.2969378592830216	0.7198417577497911	0.28015824225020847	-35.67414084844371	0.6352019522681592	0.017346573344636223	0.0	0.5366533445797509	0.08873203244468394
330000	-3212.138861602349	-3159.973637881486	-52.16522372086315	-3159.973637881486	20.58673472362425	1.0	0.010878160065751909	0.38236488364427823	0.6949053569681056	0.30509464303189404	-43.04853443463619	0.09098065391320202	0.6464366385825036	0.0	1.0096051566631137	0.046659736377553974
340000	-3202.3962095670313	-3154.3056204850823	-48.09058908194903	-3154.3056204850823	20.065910657571365	1.0	0.01795937233303196	0.2524929890864366	0.6953340311094652	0.30466596889053454	-39.381129255171004	0.20629923284889365	0.7002558860402956	0.0	0.5871573207207514	0.08630979609498805
350000	-3197.2241582491183	-3157.680967467657	-39.543190781461576	-3157.680967467657	11.421234328806714	1.0	0.004411052987770511	0.2524929890864366	0.671119352102959	0.32888064789704075	-30.833730954683553	0.2583347688652809	0.5976442822080715	0.0	0.5508606348911715	0.11837765397361753
360000	-3198.0579269567675	-3155.8070215380353	-42.250905418732344	-3155.8070215380353	11.87547312752353	1.0	0.011457382961402926	0.3261410263990169	0.7026377919016914	0.2973622080983084	-33.290931706509	0.2906607545240383	0.5494598928508974	0.0	0.6035907920087263	0.0950268838299938
370000	-3205.2759745378817	-3157.1063542943443	-48.169620243537274	-3157.1063542943443	13.817595924396926	1.0	0.10546508254197895	0.21062750606583322	0.704900982897265	0.29509901710273445	-39.63657463397246	0.1619825916810519	0.39293409831744674	0.0	0.870709692367858	0.05998368834621324
